File: interpreter.test
Build ID: 660f7a6586d0c20fa14c8246b686314c066749cd
Type: cpu
Time: 2026-07-11 23:32:43 CDT
Duration: 7.74s, Total samples = 7660ms (98.91%)
Showing nodes accounting for 3950ms, 51.57% of 7660ms total
Dropped 113 nodes (cum <= 38.30ms)
Showing top 20 nodes out of 137
      flat  flat%   sum%        cum   cum%
     910ms 11.88% 11.88%     7400ms 96.61%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     350ms  4.57% 16.45%      960ms 12.53%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedMemberMethodEntry
     280ms  3.66% 20.10%     2280ms 29.77%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMember
     270ms  3.52% 23.63%      310ms  4.05%  runtime.tryDeferToSpanScan
     230ms  3.00% 26.63%      250ms  3.26%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     190ms  2.48% 29.11%     4300ms 56.14%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallOpcode
     180ms  2.35% 31.46%      290ms  3.79%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).switchRunProgramWithActiveLookupState
     170ms  2.22% 33.68%      660ms  8.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCachedMemberMethodFastPath
     150ms  1.96% 35.64%      210ms  2.74%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).memberMethodCacheIdentity
     140ms  1.83% 37.47%      200ms  2.61%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).pushCallFrame
     140ms  1.83% 39.30%      510ms  6.66%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).tryInlineCachedCallNameDirectFromSlots
     130ms  1.70% 40.99%      230ms  3.00%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).popCallFrameFields
     120ms  1.57% 42.56%      150ms  1.96%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlot
     120ms  1.57% 44.13%      120ms  1.57%  able/interpreter-go/pkg/interpreter.bytecodeMaterializeRawIntegerValue
     110ms  1.44% 45.56%      910ms 11.88%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishInlineReturn
     100ms  1.31% 46.87%      320ms  4.18%  able/interpreter-go/pkg/runtime.ArrayStoreSize
      90ms  1.17% 48.04%      620ms  8.09%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMemberArraySlot
      90ms  1.17% 49.22%      100ms  1.31%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishInlineCachedMemberMethodEntry
      90ms  1.17% 50.39%      140ms  1.83%  able/interpreter-go/pkg/interpreter.bytecodeSlotReadValue
      90ms  1.17% 51.57%      280ms  3.66%  runtime.mapaccess2
