benchmark	status	real_seconds	user_seconds	sys_seconds	stdout_sha256	verified	stats_present
array_slice_window	ok	1.82	1.78	0.03	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	1
await_channel_mux	ok	0.22	0.20	0.01	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	1	1
base64	ok	3.92	3.30	0.60	5f4c00cd811078942fc98cd5dbca3b47fac2f8d8210f07ea116c1a7c0d6ac316	1	1
channel_rollup	ok	0.74	0.70	0.03	a6a1f91069e8c95a38fba1a3cb7fb3f582434245605091f200ee90cdb190e604	1	1
dependency_plan	ok	0.92	0.89	0.02	96dc74508d9b7a476bafdef453b11e11f2f70279c58ccaa5dcb6d85c529c4a38	1	1
distance_field	ok	14.45	14.37	0.04	cdaaf4451b236346af59b6a407f3136da96004e0c7c39c165546b7b9b21eda94	1	1
document_audit	ok	0.31	0.28	0.02	0dad030a80c8a883cbb56fbcfebfd530d521075e15d5d91ba538bc93e66c0aab	1	1
fixed_width_128	ok	15.67	15.55	0.07	eceabf5869b1abca8d6dd228b64a09f89e4e98ba8cabc4833ffee1218dafa56a	1	1
future_await_race	ok	0.19	0.16	0.02	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	1	1
future_pipeline	ok	1.67	1.63	0.03	3db937fdd21b5719ab57c25679a1944e8f30128695c8edbfae4940aba7aa6d98	1	1
i_before_e	ok	1.13	1.09	0.03	981f0d37a277be25f359c097e10df2ef68009fea2d3e322aeed3a65d0fbaca39	1	1
json	ok	0.83	0.75	0.08	7cbf9736119f7683d59646bea566591a2ef278db54286b8e2525aa39e907839e	1	1
k_nucleotide	timeout	55.01	54.64	0.18	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0
lexical_rollup	ok	0.68	0.63	0.05	a6a1f91069e8c95a38fba1a3cb7fb3f582434245605091f200ee90cdb190e604	1	1
mandelbrot	ok	36.39	36.23	0.05	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1	1
monte_carlo_pi	ok	8.99	8.93	0.03	dab6ddc0a42f6644dd620c574b8b552697477be92433e886b7116ec8723123d2	1	1
mutex_await_journal	ok	0.31	0.28	0.02	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	1	1
mutex_ledger	ok	0.69	0.66	0.02	58f2e2fda882a7c1e5032a2f34c4d9d05f40ced51199c0be0672ecc4d4cf14e4	1	1
option_result_config	ok	1.31	1.27	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1	1
pidigits	ok	3.51	3.44	0.05	bdfa7b6c756d96492f472f97aee9cc139bee954d271eacedfd7ace5d2875f06c	1	1
rational_series	ok	10.64	10.56	0.04	127f0f44ee4870b57a188a7948f80a0a5d14584a326c345a48d4285594069f0c	1	1
regex_set_audit	timeout	55.00	54.75	0.07	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0
regex_stream_audit	ok	49.30	49.00	0.12	dd7801f0b104d8bd47aaef64d685bc65a06263851f12c8df8cf75260d09e717b	1	1
reverse_complement	ok	18.22	18.02	0.14	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1	1
rms_norm	ok	12.02	11.94	0.04	255c3e1c7ae7f523918e96244a6ac395b58699c4d2220549b097702faaa1037b	1	1
unicode_scalar_pipeline	ok	12.03	11.96	0.04	c9efadb7f22969600334daa4a4eed2edde38c8e86d2c81d354d6f3979c854eb9	1	1
word_frequency	ok	3.17	3.12	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	1
