opcode	total_count	applications_nonzero	max_application_share_percent
ArrayIndexGetSlot	102912	1	2.569570050
ArrayIndexSetSlot	0	0	0.000000000
ArrayIndexSwapSlot	0	0	0.000000000
ArrayLiteral	3264	3	0.280263842
ArrayReadSlot	4423804	4	3.829021521
ArrayReadSlotI32	0	0	0.000000000
ArraySlotSwapSlot	0	0	0.000000000
AssignName	743776	10	2.114263363
AssignNameCompound	0	0	0.000000000
AssignPattern	38	7	0.000834411
Await	3264	3	0.280263842
Binary	16658667	17	8.117225569
BinaryCastSlotFloatConstDiv	0	0	0.000000000
BinaryFloatMulSlotConst	15620696	1	5.945207828
BinaryI32Add	194	1	0.001102781
BinaryI32Sub	0	0	0.000000000
BinaryIntAdd	33989291	21	16.467890331
BinaryIntAddSlotConst	529688	4	0.743973544
BinaryIntCompareSlotConst	32986	4	1.268661339
BinaryIntDivCast	0	0	0.000000000
BinaryIntLessEqual	36188	1	0.044160560
BinaryIntLessEqualSlotConst	30164	3	1.167301617
BinaryIntModSlotConst	570576	4	5.432682160
BinaryIntMulSlotConst	2008857	14	16.067085661
BinaryIntSub	16475422	8	6.042016390
BinaryIntSubSlotConst	40	2	0.000092669
BindPattern	0	0	0.000000000
BoxI32	18157	3	0.520306999
BreakLabel	0	0	0.000000000
BreakSignal	0	0	0.000000000
Breakpoint	0	0	0.000000000
Call	62578	3	1.653144726
CallMember	2881905	16	7.532819480
CallMemberArrayGet	2800631	7	3.571428571
CallMemberArrayNew	0	0	0.000000000
CallMemberArraySlot	21642384	13	16.665050157
CallMemberNext	1795038	2	2.438200667
CallName	16437071	25	10.714285714
CallSelf	19	1	0.000023186
CallSelfIntSubSlotConst	0	0	0.000000000
CallStaticMember	5404845	24	4.554373413
Cast	9984616	20	10.421438610
CompoundAssignImplicitSlot	0	0	0.000000000
CompoundAssignSlot	0	0	0.000000000
CompoundAssignSlotI32	0	0	0.000000000
Const	43584320	25	16.407046784
ConstI32	195	2	0.001102781
ContinueSignal	0	0	0.000000000
DeclareName	1021742	10	2.015057230
DefineExtern	0	0	0.000000000
DefineFunction	0	0	0.000000000
DefineImplementation	0	0	0.000000000
DefineInterface	0	0	0.000000000
DefineMethods	0	0	0.000000000
DefineStruct	0	0	0.000000000
DefineTypeAlias	0	0	0.000000000
DefineUnion	0	0	0.000000000
Dup	884016	10	8.424214611
DynImport	0	0	0.000000000
Ensure	10246	4	0.265942165
EnsureEnd	10246	4	0.265942165
EnterScope	693009	10	2.014979871
ExitScope	693009	10	2.014979871
ForLoop	0	0	0.000000000
ImplicitMember	0	0	0.000000000
ImplicitMemberSet	0	0	0.000000000
Import	0	0	0.000000000
IndexGet	129792	1	3.240726407
