benchmark	pair	position	variant	real_seconds	stdout_sha256	verified	status
word_frequency	1	1	baseline	1.427047424	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	1	2	candidate	1.489495808	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	2	1	candidate	1.451802624	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	2	2	baseline	1.436488704	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	3	1	baseline	1.538762240	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	3	2	candidate	1.536994816	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	4	1	candidate	1.454435072	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	4	2	baseline	1.406578176	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	5	1	baseline	1.436163840	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
word_frequency	5	2	candidate	1.480100096	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	ok
array_slice_window	1	1	baseline	0.630471168	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	1	2	candidate	0.652240384	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	2	1	candidate	0.662604032	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	2	2	baseline	0.614372352	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	3	1	baseline	0.619880192	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	3	2	candidate	0.645361152	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	4	1	candidate	0.649048320	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	4	2	baseline	0.622882560	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	5	1	baseline	0.620135168	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
array_slice_window	5	2	candidate	0.643474176	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	ok
