benchmark	pair	position	variant	real_seconds	user_seconds	sys_seconds	stdout_sha256	verified
mandelbrot	1	1	baseline	6.69	6.61	0.05	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	1	2	stabilized	6.50	6.43	0.05	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	2	1	stabilized	6.72	6.66	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	2	2	baseline	6.59	6.53	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	3	1	baseline	6.75	6.69	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	3	2	stabilized	6.58	6.52	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	4	1	stabilized	7.00	6.94	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	4	2	baseline	7.38	7.31	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	5	1	baseline	6.79	6.73	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
mandelbrot	5	2	stabilized	6.55	6.49	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1
reverse_complement	1	1	baseline	7.00	6.86	0.11	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	1	2	stabilized	7.76	7.60	0.13	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	2	1	stabilized	7.36	7.20	0.13	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	2	2	baseline	7.58	7.43	0.12	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	3	1	baseline	6.79	6.63	0.13	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	3	2	stabilized	7.29	7.14	0.12	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	4	1	stabilized	7.58	7.44	0.10	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	4	2	baseline	6.94	6.80	0.11	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	5	1	baseline	7.35	7.20	0.12	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
reverse_complement	5	2	stabilized	7.47	7.32	0.12	db06a593d68950aa91293fb57ffed87ad57040c4ac7ab81ae9dc43d50b400bb7	1
option_result_config	1	1	baseline	0.91	0.87	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	1	2	stabilized	0.94	0.90	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	2	1	stabilized	0.99	0.94	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	2	2	baseline	0.86	0.82	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	3	1	baseline	0.85	0.82	0.02	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	3	2	stabilized	0.90	0.85	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	4	1	stabilized	1.11	1.07	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	4	2	baseline	0.95	0.90	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	5	1	baseline	0.89	0.85	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
option_result_config	5	2	stabilized	0.87	0.83	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1
word_frequency	1	1	baseline	1.60	1.56	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	1	2	stabilized	1.53	1.50	0.02	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	2	1	stabilized	1.48	1.44	0.02	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	2	2	baseline	1.44	1.39	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	3	1	baseline	1.47	1.42	0.05	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	3	2	stabilized	1.58	1.53	0.04	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	4	1	stabilized	1.53	1.48	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
word_frequency	4	2	baseline	1.44	1.40	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1
