application	mode	pair	real_s	user_s	sys_s	max_rss_kib	exit
future_pipeline	baseline	1	0.43	0.40	0.02	80724	0
future_pipeline	candidate	1	0.52	0.50	0.02	86280	0
future_pipeline	candidate	2	0.59	0.56	0.02	82720	0
future_pipeline	baseline	2	0.53	0.49	0.03	83284	0
future_pipeline	baseline	3	0.45	0.42	0.02	85212	0
future_pipeline	candidate	3	0.44	0.41	0.02	85332	0
future_pipeline	candidate	4	0.45	0.41	0.03	86048	0
future_pipeline	baseline	4	0.57	0.54	0.03	85140	0
future_pipeline	baseline	5	0.58	0.55	0.03	83284	0
future_pipeline	candidate	5	0.52	0.48	0.03	86680	0
fixed_width_128	baseline	1	9.00	8.89	0.07	183328	0
fixed_width_128	candidate	1	8.04	7.95	0.06	185592	0
fixed_width_128	candidate	2	8.25	8.16	0.06	184124	0
fixed_width_128	baseline	2	8.28	8.18	0.06	183468	0
fixed_width_128	baseline	3	8.23	8.13	0.07	184188	0
fixed_width_128	candidate	3	8.12	8.02	0.07	185072	0
fixed_width_128	candidate	4	8.19	8.07	0.08	182804	0
fixed_width_128	baseline	4	8.01	7.90	0.08	187844	0
fixed_width_128	baseline	5	8.04	7.93	0.08	185140	0
fixed_width_128	candidate	5	9.02	8.89	0.09	183204	0
distance_field	baseline	1	5.78	5.72	0.03	96912	0
distance_field	candidate	1	6.15	6.09	0.03	96720	0
distance_field	candidate	2	5.99	5.93	0.04	96972	0
distance_field	baseline	2	6.02	5.96	0.03	97496	0
distance_field	baseline	3	6.51	6.46	0.03	96860	0
distance_field	candidate	3	7.36	7.29	0.03	97992	0
distance_field	candidate	4	6.68	6.61	0.04	97360	0
distance_field	baseline	4	5.77	5.71	0.04	96720	0
distance_field	baseline	5	5.67	5.61	0.04	97816	0
distance_field	candidate	5	5.90	5.84	0.03	96984	0
mandelbrot	baseline	1	6.63	6.57	0.04	108892	0
mandelbrot	candidate	1	6.97	6.92	0.03	104444	0
mandelbrot	candidate	2	6.98	6.91	0.04	106028	0
mandelbrot	baseline	2	6.61	6.54	0.05	105296	0
mandelbrot	baseline	3	6.78	6.70	0.05	105648	0
mandelbrot	candidate	3	7.03	6.98	0.03	108388	0
mandelbrot	candidate	4	6.97	6.90	0.04	105236	0
mandelbrot	baseline	4	7.67	7.60	0.03	106004	0
mandelbrot	baseline	5	6.60	6.54	0.04	105908	0
mandelbrot	candidate	5	7.00	6.94	0.03	105844	0
array_slice_window	baseline	1	0.75	0.71	0.02	87124	0
array_slice_window	candidate	1	0.71	0.68	0.02	87968	0
array_slice_window	candidate	2	0.68	0.65	0.02	87508	0
array_slice_window	baseline	2	0.66	0.63	0.03	86092	0
array_slice_window	baseline	3	0.68	0.65	0.03	89104	0
array_slice_window	candidate	3	0.75	0.72	0.02	87888	0
array_slice_window	candidate	4	0.72	0.70	0.02	88012	0
array_slice_window	baseline	4	0.67	0.64	0.02	87260	0
array_slice_window	baseline	5	0.72	0.69	0.02	88276	0
array_slice_window	candidate	5	0.69	0.66	0.02	87840	0
option_result_config	baseline	1	0.88	0.84	0.03	109592	0
option_result_config	candidate	1	1.13	1.09	0.03	113028	0
option_result_config	candidate	2	1.33	1.28	0.03	114840	0
option_result_config	baseline	2	0.90	0.86	0.03	112912	0
option_result_config	baseline	3	0.94	0.90	0.03	113672	0
option_result_config	candidate	3	0.91	0.87	0.04	108636	0
option_result_config	candidate	4	0.96	0.91	0.04	112732	0
option_result_config	baseline	4	0.95	0.91	0.04	109836	0
option_result_config	baseline	5	0.96	0.92	0.03	108312	0
option_result_config	candidate	5	0.90	0.86	0.03	109848	0
word_frequency	baseline	1	1.51	1.46	0.04	120672	0
word_frequency	candidate	1	1.81	1.76	0.03	119232	0
word_frequency	candidate	2	2.04	1.98	0.04	119488	0
word_frequency	baseline	2	1.59	1.55	0.03	120628	0
word_frequency	baseline	3	1.65	1.60	0.04	119540	0
word_frequency	candidate	3	1.60	1.55	0.03	118964	0
word_frequency	candidate	4	1.56	1.51	0.03	118844	0
word_frequency	baseline	4	1.56	1.52	0.03	118072	0
word_frequency	baseline	5	1.61	1.55	0.04	119336	0
word_frequency	candidate	5	1.66	1.63	0.03	119548	0
reverse_complement	baseline	1	4.44	4.32	0.10	272312	0
reverse_complement	candidate	1	4.96	4.83	0.11	272488	0
reverse_complement	candidate	2	4.31	4.19	0.10	269916	0
reverse_complement	baseline	2	4.46	4.34	0.10	272060	0
reverse_complement	baseline	3	4.26	4.15	0.09	272260	0
reverse_complement	candidate	3	4.31	4.19	0.11	269400	0
reverse_complement	candidate	4	4.96	4.82	0.12	272700	0
reverse_complement	baseline	4	4.18	4.07	0.10	272884	0
reverse_complement	baseline	5	4.36	4.25	0.08	269296	0
reverse_complement	candidate	5	4.41	4.30	0.08	273008	0
