application	mode	pair	real_s	user_s	sys_s	max_rss_kib	exit
future_pipeline	baseline	1	0.45	0.43	0.02	85724	0
future_pipeline	candidate	1	0.59	0.55	0.03	82900	0
future_pipeline	candidate	2	0.49	0.46	0.02	85792	0
future_pipeline	baseline	2	0.68	0.64	0.03	84560	0
future_pipeline	baseline	3	0.51	0.48	0.02	79964	0
future_pipeline	candidate	3	0.47	0.44	0.02	82264	0
future_pipeline	candidate	4	0.47	0.44	0.02	85464	0
future_pipeline	baseline	4	0.46	0.43	0.03	85152	0
future_pipeline	baseline	5	0.50	0.47	0.02	84984	0
future_pipeline	candidate	5	0.46	0.43	0.02	85712	0
fixed_width_128	baseline	1	8.16	8.05	0.07	183672	0
fixed_width_128	candidate	1	7.87	7.77	0.06	189128	0
fixed_width_128	candidate	2	8.19	8.08	0.07	184228	0
fixed_width_128	baseline	2	8.73	8.62	0.07	182200	0
fixed_width_128	baseline	3	8.52	8.41	0.08	183904	0
fixed_width_128	candidate	3	7.99	7.88	0.08	185692	0
fixed_width_128	candidate	4	9.14	9.01	0.08	187136	0
fixed_width_128	baseline	4	8.32	8.22	0.06	184316	0
fixed_width_128	baseline	5	8.44	8.33	0.08	184536	0
fixed_width_128	candidate	5	8.87	8.76	0.08	183884	0
distance_field	baseline	1	5.86	5.81	0.02	97568	0
distance_field	candidate	1	5.72	5.67	0.03	96912	0
distance_field	candidate	2	5.74	5.68	0.03	96524	0
distance_field	baseline	2	7.20	7.13	0.03	98516	0
distance_field	baseline	3	5.82	5.77	0.03	98704	0
distance_field	candidate	3	5.83	5.78	0.02	96400	0
distance_field	candidate	4	5.86	5.80	0.04	97364	0
distance_field	baseline	4	6.22	6.17	0.03	97104	0
distance_field	baseline	5	6.04	5.99	0.03	96532	0
distance_field	candidate	5	5.87	5.82	0.03	96724	0
mandelbrot	baseline	1	6.60	6.54	0.04	105648	0
mandelbrot	candidate	1	6.44	6.37	0.04	105604	0
mandelbrot	candidate	2	6.69	6.62	0.05	105196	0
mandelbrot	baseline	2	6.89	6.81	0.05	105464	0
mandelbrot	baseline	3	6.70	6.63	0.05	105704	0
mandelbrot	candidate	3	6.59	6.53	0.04	105012	0
mandelbrot	candidate	4	6.71	6.64	0.04	106056	0
mandelbrot	baseline	4	6.64	6.58	0.03	105968	0
mandelbrot	baseline	5	6.80	6.73	0.04	105008	0
mandelbrot	candidate	5	6.62	6.56	0.03	105136	0
array_slice_window	baseline	1	0.67	0.64	0.02	88536	0
array_slice_window	candidate	1	0.68	0.65	0.02	88208	0
array_slice_window	candidate	2	0.66	0.63	0.02	89420	0
array_slice_window	baseline	2	0.67	0.63	0.03	89616	0
array_slice_window	baseline	3	0.63	0.60	0.02	87584	0
array_slice_window	candidate	3	0.66	0.62	0.03	86676	0
array_slice_window	candidate	4	0.67	0.64	0.03	93216	0
array_slice_window	baseline	4	0.66	0.63	0.03	86100	0
array_slice_window	baseline	5	0.67	0.64	0.02	92368	0
array_slice_window	candidate	5	0.69	0.66	0.02	90832	0
option_result_config	baseline	1	0.89	0.85	0.03	114952	0
option_result_config	candidate	1	0.90	0.85	0.03	114012	0
option_result_config	candidate	2	0.89	0.85	0.03	110104	0
option_result_config	baseline	2	0.91	0.86	0.04	112604	0
option_result_config	baseline	3	1.03	0.97	0.05	115596	0
option_result_config	candidate	3	0.86	0.82	0.03	110284	0
option_result_config	candidate	4	0.88	0.84	0.03	115228	0
option_result_config	baseline	4	0.88	0.84	0.04	115344	0
option_result_config	baseline	5	0.85	0.82	0.03	114076	0
option_result_config	candidate	5	0.88	0.83	0.04	110872	0
word_frequency	baseline	1	1.98	1.92	0.04	120692	0
word_frequency	candidate	1	1.62	1.57	0.04	121148	0
word_frequency	candidate	2	1.58	1.53	0.04	118696	0
word_frequency	baseline	2	1.77	1.71	0.04	119216	0
word_frequency	baseline	3	1.72	1.67	0.03	119464	0
word_frequency	candidate	3	1.53	1.49	0.03	117800	0
word_frequency	candidate	4	1.50	1.45	0.04	119348	0
word_frequency	baseline	4	1.45	1.42	0.03	118516	0
word_frequency	baseline	5	1.52	1.47	0.03	118396	0
word_frequency	candidate	5	1.65	1.60	0.03	119616	0
reverse_complement	baseline	1	4.49	4.37	0.10	269756	0
reverse_complement	candidate	1	4.42	4.31	0.08	269396	0
reverse_complement	candidate	2	4.44	4.33	0.10	269284	0
reverse_complement	baseline	2	4.51	4.39	0.10	272572	0
reverse_complement	baseline	3	5.87	5.72	0.11	269484	0
reverse_complement	candidate	3	4.37	4.24	0.11	272228	0
reverse_complement	candidate	4	4.33	4.22	0.09	271804	0
reverse_complement	baseline	4	4.30	4.19	0.09	269612	0
reverse_complement	baseline	5	4.56	4.42	0.11	270468	0
reverse_complement	candidate	5	4.45	4.34	0.10	272036	0
