benchmark	status	source_sha256	go_files	source_bytes	raw_diagnostic_lines	selected_locations	normalized_shapes	escape	moved	leak	bounds_index	bounds_slice	compiled_body_escape	compiled_body_moved	compiled_body_bounds_index	compiled_body_bounds_slice	diagnostic_seconds
fib	ok	14b51693e9e8a579cae67df218f01148e75f1eac1aa665fee93651bfbdcc3faf	15	1085852	70056	6541	4953	4344	20	2089	70	18	263	0	0	0	10
binarytrees	ok	299bde0f8587f8591acb867636c3007c4cb0ac043f428676da9cb17a88b0b330	15	1139370	74105	6778	5155	4540	23	2127	70	18	289	1	0	0	11
matrixmultiply	ok	a654d55e6dfd0a3bb05039e41f62ca1d954fb9514029dcc240ac442a21c96257	31	1591386	110532	9777	7195	6851	24	2811	72	19	455	0	0	0	12
quicksort	ok	f885bc5b0f6894165b8958ada651460d7b884bf313bfa784a05a505dd72747be	55	4512884	264603	23906	17237	16550	48	7197	88	23	1787	19	2	2	17
sudoku_masks	ok	ec78c83c9b8439a2e8a334686a7b0cfb8a104b607dc9d794fb279ac1231ccfb1	55	4548865	266315	24044	17310	16663	48	7219	90	24	1804	19	2	2	19
i_before_e	ok	a01ceb675f663bd3c6d6d8184b724fc93bca364110f71038bcea783d5af65789	55	4485010	263631	23817	17206	16473	48	7185	88	23	1775	19	2	2	18
base64	ok	06d0121eabe2e8d9f69eeb3ada26a589971de71a5e1ea17a4d29c9098ee1d8af	27	1223751	83369	7431	5686	5052	21	2267	72	19	305	0	0	0	11
json	ok	2cd4d082b32aed4675588d427c5e1fb07b148d52023b83fc3e5f759950f83c56	59	4686523	276101	24747	18000	17032	51	7512	123	29	1857	19	2	2	18
monte_carlo_pi	ok	7b2baf2c3baf996e8cc8df71167c9020656963d6dcfacc1a11b05e542e30cf2a	15	1097765	70281	6557	4967	4355	20	2094	70	18	266	0	0	0	10
pidigits	ok	a8f84c4b20afff23c0dc44c86f2207b8276854e2d7ea845cf72918c05c055a14	51	4017436	236446	21327	15290	14801	48	6372	86	20	1392	19	2	0	17
mandelbrot	ok	a08bb1233839d95e238d8f1756ea95edf91f14dce455b31d0a1fdb6bb23f6b24	43	3782313	225249	20267	14444	14114	42	6005	86	20	1348	15	2	0	16
reverse_complement	ok	ad61068610d01988b3e5b62c0895caf2fb7aaad17e00aa9e663450c99bd3c98f	55	4535636	265034	23937	17254	16575	48	7203	88	23	1789	19	2	2	18
k_nucleotide	ok	91acc1fe5fbb34d2e9df33171c27ed4814945129dacf99522fba0cc9581e4dac	67	5495061	309971	28296	20319	19471	69	8642	90	24	2424	40	2	2	21
