benchmark	status	verification	fast_method_call	generic_union_method_call	generic_union_fallback	residual_call	method_call	boxed_binary	boxed_unary	any_to_value	interface_dispatch	checked_array_index	string_conversion	integer_conversion	nominal_decode
array_slice_window	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	0
await_channel_mux	ok	verified	10752	0	0	1025	10752	0	0	0	0	0	0	3074	12288
base64	ok	verified	0	0	0	3	0	0	0	0	0	0	0	0	0
binarytrees	ok	verified	9	0	0	11	9	0	0	0	0	0	0	0	27
channel_rollup	ok	verified	0	0	0	2	0	0	0	0	0	0	0	42430	1
dependency_plan	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	0
distance_field	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	0
document_audit	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	0
fib	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	0
fixed_width_128	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	0
future_await_race	ok	verified	1059	0	0	1	1059	0	0	0	0	0	0	3	1927
future_pipeline	ok	verified	8	0	0	1	8	0	0	0	0	0	0	32786	17
i_before_e	ok	verified	0	0	0	1629	0	0	0	0	0	0	0	913	0
json	ok	verified	0	0	0	3	0	0	0	0	0	0	0	0	1
k_nucleotide	ok	verified	0	0	0	36	0	0	0	0	0	0	0	24	0
lexical_rollup	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	1
mandelbrot	ok	verified	0	0	0	0	0	0	0	0	0	0	0	0	1
matrixmultiply	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	0
monte_carlo_pi	ok	verified	0	0	0	5	0	0	0	1	0	0	0	0	0
mutex_await_journal	ok	verified	6188	0	0	2049	6188	0	0	0	0	0	0	6144	6192
mutex_ledger	ok	verified	4	0	0	1	4	0	0	0	0	0	0	16384	8
nbody	ok	verified	0	0	0	2	0	0	0	1	0	0	0	0	0
option_result_config	ok	verified	147456	147456	0	57649	0	0	0	312864	0	0	0	0	0
pidigits	ok	verified	0	0	0	1001	0	0	0	0	0	0	0	0	0
quicksort	ok	verified	0	0	0	20	0	0	0	0	0	0	0	0	0
rational_series	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	0
regex_set_audit	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	1
regex_stream_audit	ok	verified	0	0	0	2	0	0	0	228	0	0	0	2880	1
regex_suffix_audit	ok	verified	0	0	0	2	0	0	0	0	0	0	0	70676	1
reverse_complement	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	1
rms_norm	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	0
sudoku_masks	ok	verified	0	0	0	100	0	0	0	0	0	0	0	0	0
tapelang_alphabet	ok	verified	0	0	0	1	0	0	0	0	0	0	0	0	1
unicode_scalar_pipeline	ok	verified	0	0	0	2	0	0	0	0	0	0	0	0	0
word_frequency	ok	verified	0	0	0	2	0	0	0	0	0	0	0	105125	0
TOTAL	ok	verified	165476	147456	0	63565	18020	0	0	313094	0	0	0	280439	20468
