pair	position	variant	real_seconds	user_seconds	sys_seconds	stdout_sha256	verification
1	1	baseline	6.76	6.70	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
1	2	candidate	7.14	7.08	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
2	1	candidate	7.10	7.05	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
2	2	baseline	6.18	6.13	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
3	1	baseline	6.32	6.27	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
3	2	candidate	7.15	7.09	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
4	1	candidate	7.00	6.95	0.03	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
4	2	baseline	6.55	6.48	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
5	1	baseline	6.73	6.66	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
5	2	candidate	7.12	7.05	0.04	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	verified
