benchmark	pair	position	variant	real_seconds	user_seconds	sys_seconds	stdout_sha256	verification
option_result_config	1	1	baseline	0.91	0.87	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	1	2	candidate	0.72	0.67	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	2	1	candidate	0.74	0.69	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	2	2	baseline	0.72	0.70	0.02	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	3	1	baseline	0.78	0.72	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	3	2	candidate	0.78	0.75	0.02	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	4	1	candidate	0.77	0.72	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	4	2	baseline	0.74	0.71	0.02	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	5	1	baseline	0.73	0.69	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	5	2	candidate	0.71	0.67	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	6	1	candidate	0.73	0.69	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	6	2	baseline	0.74	0.71	0.02	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	7	1	baseline	0.75	0.71	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	7	2	candidate	0.73	0.69	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	8	1	candidate	0.71	0.68	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	8	2	baseline	0.72	0.67	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	9	1	baseline	0.73	0.69	0.04	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	9	2	candidate	0.72	0.68	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	10	1	candidate	0.71	0.68	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
option_result_config	10	2	baseline	0.73	0.69	0.03	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	verified
word_frequency	1	1	baseline	1.26	1.21	0.04	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	1	2	candidate	1.27	1.22	0.04	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	2	1	candidate	1.32	1.28	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	2	2	baseline	1.25	1.21	0.04	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	3	1	baseline	1.28	1.22	0.05	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	3	2	candidate	1.28	1.24	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	4	1	candidate	1.34	1.29	0.03	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
word_frequency	4	2	baseline	1.44	1.39	0.04	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	verified
