application	mode	pair	real_s	user_s	sys_s	exit
fixed_width_128	baseline	1	8.25	8.14	0.07	0
fixed_width_128	candidate	1	8.20	8.09	0.07	0
fixed_width_128	candidate	2	8.57	8.46	0.07	0
fixed_width_128	baseline	2	7.94	7.85	0.07	0
fixed_width_128	baseline	3	7.87	7.77	0.07	0
fixed_width_128	candidate	3	7.86	7.72	0.09	0
fixed_width_128	candidate	4	8.21	8.11	0.06	0
fixed_width_128	baseline	4	7.95	7.85	0.07	0
fixed_width_128	baseline	5	8.12	8.03	0.06	0
fixed_width_128	candidate	5	8.12	8.01	0.08	0
distance_field	baseline	1	6.04	5.99	0.03	0
distance_field	candidate	1	5.81	5.75	0.04	0
distance_field	candidate	2	5.60	5.54	0.03	0
distance_field	baseline	2	5.81	5.75	0.04	0
distance_field	baseline	3	6.04	5.98	0.03	0
distance_field	candidate	3	5.64	5.59	0.03	0
distance_field	candidate	4	5.90	5.85	0.03	0
distance_field	baseline	4	6.01	5.95	0.04	0
distance_field	baseline	5	5.81	5.76	0.03	0
distance_field	candidate	5	5.66	5.61	0.03	0
mandelbrot	baseline	1	6.62	6.56	0.03	0
mandelbrot	candidate	1	6.46	6.40	0.04	0
mandelbrot	candidate	2	6.38	6.32	0.04	0
mandelbrot	baseline	2	6.36	6.31	0.03	0
mandelbrot	baseline	3	6.59	6.54	0.03	0
mandelbrot	candidate	3	6.37	6.31	0.04	0
mandelbrot	candidate	4	6.22	6.17	0.03	0
mandelbrot	baseline	4	7.38	7.31	0.04	0
mandelbrot	baseline	5	6.55	6.49	0.03	0
mandelbrot	candidate	5	6.57	6.51	0.04	0
option_result_config	baseline	1	0.83	0.79	0.03	0
option_result_config	candidate	1	0.82	0.77	0.04	0
option_result_config	candidate	2	0.86	0.83	0.03	0
option_result_config	baseline	2	0.87	0.83	0.03	0
option_result_config	baseline	3	0.81	0.77	0.02	0
option_result_config	candidate	3	0.79	0.75	0.03	0
option_result_config	candidate	4	0.87	0.83	0.03	0
option_result_config	baseline	4	0.94	0.90	0.03	0
option_result_config	baseline	5	0.97	0.93	0.04	0
option_result_config	candidate	5	0.89	0.85	0.03	0
word_frequency	baseline	1	1.60	1.55	0.04	0
word_frequency	candidate	1	1.63	1.58	0.04	0
word_frequency	candidate	2	1.53	1.48	0.04	0
word_frequency	baseline	2	1.59	1.53	0.04	0
word_frequency	baseline	3	1.57	1.53	0.03	0
word_frequency	candidate	3	1.49	1.45	0.02	0
word_frequency	candidate	4	1.50	1.45	0.04	0
word_frequency	baseline	4	1.58	1.54	0.03	0
word_frequency	baseline	5	1.61	1.56	0.04	0
word_frequency	candidate	5	1.52	1.47	0.03	0
reverse_complement	baseline	1	4.51	4.40	0.09	0
reverse_complement	candidate	1	4.59	4.48	0.09	0
reverse_complement	candidate	2	4.47	4.34	0.10	0
reverse_complement	baseline	2	4.64	4.51	0.11	0
reverse_complement	baseline	3	4.69	4.57	0.10	0
reverse_complement	candidate	3	4.36	4.23	0.11	0
reverse_complement	candidate	4	4.39	4.27	0.10	0
reverse_complement	baseline	4	4.31	4.20	0.09	0
reverse_complement	baseline	5	4.30	4.18	0.11	0
reverse_complement	candidate	5	4.40	4.28	0.10	0
fixed_width_128	candidate	6	8.13	8.02	0.08	0
fixed_width_128	baseline	6	8.14	8.04	0.07	0
fixed_width_128	baseline	7	8.40	8.30	0.06	0
fixed_width_128	candidate	7	7.98	7.88	0.06	0
fixed_width_128	candidate	8	8.29	8.19	0.07	0
fixed_width_128	baseline	8	7.97	7.88	0.06	0
fixed_width_128	baseline	9	8.05	7.95	0.07	0
fixed_width_128	candidate	9	7.85	7.76	0.06	0
fixed_width_128	candidate	10	8.15	8.05	0.07	0
fixed_width_128	baseline	10	8.65	8.54	0.07	0
array_slice_window	baseline	1	0.74	0.71	0.02	0
array_slice_window	candidate	1	0.68	0.65	0.02	0
array_slice_window	candidate	2	0.68	0.65	0.03	0
array_slice_window	baseline	2	0.71	0.68	0.02	0
array_slice_window	baseline	3	0.73	0.69	0.03	0
array_slice_window	candidate	3	0.72	0.69	0.03	0
array_slice_window	candidate	4	0.72	0.68	0.03	0
array_slice_window	baseline	4	0.72	0.69	0.02	0
array_slice_window	baseline	5	0.75	0.72	0.02	0
array_slice_window	candidate	5	0.86	0.83	0.03	0
