application	mode	pair	real_s	user_s	sys_s	exit
fixed_width_128	baseline	1	8.51	8.39	0.09	0
fixed_width_128	candidate	1	7.77	7.67	0.06	0
fixed_width_128	candidate	2	7.89	7.79	0.07	0
fixed_width_128	baseline	2	8.04	7.94	0.06	0
fixed_width_128	baseline	3	8.38	8.27	0.07	0
fixed_width_128	candidate	3	8.11	8.00	0.08	0
fixed_width_128	candidate	4	7.76	7.66	0.07	0
fixed_width_128	baseline	4	8.09	7.98	0.07	0
fixed_width_128	baseline	5	8.10	7.99	0.08	0
fixed_width_128	candidate	5	8.03	7.93	0.06	0
distance_field	baseline	1	6.00	5.94	0.03	0
distance_field	candidate	1	5.73	5.67	0.04	0
distance_field	candidate	2	6.01	5.95	0.03	0
distance_field	baseline	2	5.78	5.71	0.04	0
distance_field	baseline	3	5.50	5.45	0.03	0
distance_field	candidate	3	5.59	5.53	0.04	0
distance_field	candidate	4	6.05	6.00	0.03	0
distance_field	baseline	4	6.14	6.08	0.03	0
distance_field	baseline	5	5.44	5.39	0.03	0
distance_field	candidate	5	5.59	5.54	0.03	0
option_result_config	baseline	1	0.85	0.81	0.03	0
option_result_config	candidate	1	0.84	0.80	0.03	0
option_result_config	candidate	2	0.83	0.78	0.04	0
option_result_config	baseline	2	0.86	0.82	0.03	0
option_result_config	baseline	3	0.86	0.83	0.03	0
option_result_config	candidate	3	0.86	0.81	0.04	0
option_result_config	candidate	4	0.83	0.78	0.04	0
option_result_config	baseline	4	0.85	0.81	0.03	0
option_result_config	baseline	5	0.82	0.78	0.03	0
option_result_config	candidate	5	0.85	0.82	0.02	0
word_frequency	baseline	1	1.49	1.43	0.05	0
word_frequency	candidate	1	1.48	1.43	0.04	0
word_frequency	candidate	2	1.56	1.51	0.04	0
word_frequency	baseline	2	1.46	1.40	0.04	0
word_frequency	baseline	3	1.67	1.62	0.04	0
word_frequency	candidate	3	1.79	1.72	0.06	0
word_frequency	candidate	4	1.51	1.46	0.04	0
word_frequency	baseline	4	1.73	1.68	0.04	0
word_frequency	baseline	5	1.67	1.62	0.03	0
word_frequency	candidate	5	1.55	1.51	0.03	0
distance_field	candidate	6	5.67	5.62	0.03	0
distance_field	baseline	6	6.43	6.38	0.03	0
distance_field	baseline	7	5.62	5.55	0.04	0
distance_field	candidate	7	5.50	5.45	0.03	0
distance_field	candidate	8	5.52	5.46	0.03	0
distance_field	baseline	8	5.52	5.47	0.03	0
distance_field	baseline	9	5.80	5.74	0.03	0
distance_field	candidate	9	5.67	5.61	0.04	0
distance_field	candidate	10	6.32	6.26	0.03	0
distance_field	baseline	10	5.85	5.80	0.03	0
option_result_config	candidate	6	0.82	0.78	0.03	0
option_result_config	baseline	6	1.07	1.03	0.03	0
option_result_config	baseline	7	0.82	0.79	0.03	0
option_result_config	candidate	7	0.84	0.80	0.03	0
option_result_config	candidate	8	0.85	0.81	0.03	0
option_result_config	baseline	8	0.86	0.82	0.03	0
option_result_config	baseline	9	0.82	0.77	0.04	0
option_result_config	candidate	9	0.86	0.82	0.03	0
option_result_config	candidate	10	0.84	0.81	0.03	0
option_result_config	baseline	10	0.86	0.82	0.03	0
word_frequency	candidate	6	1.47	1.43	0.03	0
word_frequency	baseline	6	1.54	1.49	0.04	0
word_frequency	baseline	7	1.50	1.45	0.04	0
word_frequency	candidate	7	1.56	1.50	0.04	0
word_frequency	candidate	8	1.84	1.77	0.06	0
word_frequency	baseline	8	1.63	1.57	0.04	0
word_frequency	baseline	9	1.74	1.69	0.04	0
word_frequency	candidate	9	1.52	1.48	0.03	0
word_frequency	candidate	10	1.44	1.39	0.04	0
word_frequency	baseline	10	1.44	1.40	0.03	0
