application	mode	pair	real_s	user_s	sys_s	exit
fixed_width_128	baseline	1	8.47	8.35	0.08	0
fixed_width_128	candidate	1	9.52	9.40	0.08	0
fixed_width_128	candidate	2	7.79	7.71	0.05	0
fixed_width_128	baseline	2	7.69	7.59	0.07	0
fixed_width_128	baseline	3	7.77	7.66	0.07	0
fixed_width_128	candidate	3	7.73	7.63	0.06	0
fixed_width_128	candidate	4	7.68	7.59	0.06	0
fixed_width_128	baseline	4	7.99	7.89	0.07	0
fixed_width_128	baseline	5	8.04	7.93	0.07	0
fixed_width_128	candidate	5	7.96	7.86	0.06	0
distance_field	baseline	1	5.53	5.46	0.05	0
distance_field	candidate	1	5.68	5.62	0.04	0
distance_field	candidate	2	5.82	5.76	0.04	0
distance_field	baseline	2	5.95	5.89	0.04	0
distance_field	baseline	3	5.78	5.72	0.04	0
distance_field	candidate	3	5.75	5.70	0.03	0
distance_field	candidate	4	5.63	5.58	0.02	0
distance_field	baseline	4	5.66	5.61	0.03	0
distance_field	baseline	5	5.59	5.54	0.03	0
distance_field	candidate	5	5.74	5.69	0.03	0
option_result_config	baseline	1	0.87	0.83	0.03	0
option_result_config	candidate	1	0.81	0.77	0.03	0
option_result_config	candidate	2	0.80	0.76	0.03	0
option_result_config	baseline	2	0.90	0.85	0.03	0
option_result_config	baseline	3	0.83	0.79	0.03	0
option_result_config	candidate	3	0.85	0.81	0.03	0
option_result_config	candidate	4	0.81	0.77	0.03	0
option_result_config	baseline	4	0.79	0.75	0.03	0
option_result_config	baseline	5	0.88	0.84	0.04	0
option_result_config	candidate	5	0.81	0.79	0.02	0
word_frequency	baseline	1	1.49	1.45	0.03	0
word_frequency	candidate	1	1.48	1.44	0.03	0
word_frequency	candidate	2	1.47	1.43	0.03	0
word_frequency	baseline	2	1.46	1.43	0.03	0
word_frequency	baseline	3	1.45	1.42	0.03	0
word_frequency	candidate	3	1.47	1.43	0.03	0
word_frequency	candidate	4	1.46	1.42	0.04	0
word_frequency	baseline	4	1.47	1.42	0.04	0
word_frequency	baseline	5	1.46	1.41	0.04	0
word_frequency	candidate	5	1.46	1.42	0.03	0
