File: interpreter.test
Build ID: 156ee3dfb32993430e02b187ee870431430d9db7
Type: cpu
Time: 2026-07-23 00:02:25 CDT
Duration: 4.81s, Total samples = 4.84s (100.66%)
Showing nodes accounting for 3.42s, 70.66% of 4.84s total
Dropped 185 nodes (cum <= 0.02s)
Showing top 80 nodes out of 192
      flat  flat%   sum%        cum   cum%
     0.37s  7.64%  7.64%      4.54s 93.80%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.24s  4.96% 12.60%      0.24s  4.96%  sync/atomic.(*Int32).Add (inline)
     0.17s  3.51% 16.12%      0.21s  4.34%  runtime.tryDeferToSpanScan
     0.15s  3.10% 19.21%      0.15s  3.10%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.11s  2.27% 21.49%      0.92s 19.01%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.09s  1.86% 23.35%      0.28s  5.79%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCastOpcode
     0.09s  1.86% 25.21%      0.20s  4.13%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlot
     0.09s  1.86% 27.07%      0.23s  4.75%  runtime.scanObject
     0.08s  1.65% 28.72%      0.11s  2.27%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     0.08s  1.65% 30.37%      0.14s  2.89%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawIntegerValue
     0.07s  1.45% 31.82%      0.15s  3.10%  able/interpreter-go/pkg/interpreter.evaluateDivModFast
     0.07s  1.45% 33.26%      0.07s  1.45%  aeshashbody
     0.06s  1.24% 34.50%      0.11s  2.27%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerValue
     0.06s  1.24% 35.74%      0.09s  1.86%  runtime.(*_panic).nextDefer
     0.05s  1.03% 36.78%      0.37s  7.64%  able/interpreter-go/pkg/interpreter.ApplyBinaryOperatorFast
     0.05s  1.03% 37.81%      0.15s  3.10%  runtime.mapaccess2_faststr
     0.05s  1.03% 38.84%      0.05s  1.03%  runtime.memclrNoHeapPointers
     0.04s  0.83% 39.67%      1.30s 26.86%  able/interpreter-go/pkg/interpreter.(*Interpreter).invokeFunction
     0.04s  0.83% 40.50%      0.06s  1.24%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendStackValue (inline)
