File: interpreter.test
Build ID: 6f45f521c0dd61d3c2b0907a5b8d7f47b60868ff
Type: cpu
Time: 2026-07-23 08:18:45 CDT
Duration: 3.90s, Total samples = 3.92s (100.58%)
Showing nodes accounting for 2.40s, 61.22% of 3.92s total
Dropped 95 nodes (cum <= 0.02s)
Showing top 50 nodes out of 230
      flat  flat%   sum%        cum   cum%
     0.26s  6.63%  6.63%      3.63s 92.60%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.19s  4.85% 11.48%      0.29s  7.40%  runtime.tryDeferToSpanScan
     0.14s  3.57% 15.05%      0.14s  3.57%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.13s  3.32% 18.37%      0.13s  3.32%  sync/atomic.(*Int32).Add (inline)
     0.09s  2.30% 20.66%      0.12s  3.06%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     0.08s  2.04% 22.70%      0.70s 17.86%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.08s  2.04% 24.74%      0.08s  2.04%  able/interpreter-go/pkg/interpreter.ensureFitsInt64Type
     0.07s  1.79% 26.53%      0.07s  1.79%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.06s  1.53% 28.06%      0.06s  1.53%  able/interpreter-go/pkg/interpreter.typeExpressionUsesGenerics
     0.05s  1.28% 29.34%      0.05s  1.28%  runtime.(*_panic).nextDefer
     0.05s  1.28% 30.61%      0.05s  1.28%  runtime.heapArenaOf (inline)
     0.05s  1.28% 31.89%      0.05s  1.28%  runtime.spanClass.sizeclass (inline)
     0.04s  1.02% 32.91%      2.13s 54.34%  able/interpreter-go/pkg/interpreter.(*Interpreter).invokeFunction
     0.04s  1.02% 33.93%      0.20s  5.10%  able/interpreter-go/pkg/interpreter.(*Interpreter).memberAccessOnValueWithOptions
     0.04s  1.02% 34.95%      0.04s  1.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawI64Value (inline)
     0.04s  1.02% 35.97%      0.07s  1.79%  able/interpreter-go/pkg/interpreter.bytecodeDirectSameTypeSmallIntPair
     0.04s  1.02% 36.99%      0.04s  1.02%  memeqbody
     0.04s  1.02% 38.01%      0.04s  1.02%  runtime.(*mspan).writeHeapBitsSmall
     0.04s  1.02% 39.03%      0.04s  1.02%  runtime.findObject
     0.04s  1.02% 40.05%      0.31s  7.91%  runtime.mallocgc
     0.04s  1.02% 41.07%      0.12s  3.06%  runtime.mapaccess2_faststr
     0.04s  1.02% 42.09%      0.16s  4.08%  runtime.scanObject
     0.03s  0.77% 42.86%      0.04s  1.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendStackValue (inline)
     0.03s  0.77% 43.62%      0.19s  4.85%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCastOpcode
     0.03s  0.77% 44.39%      0.09s  2.30%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execJumpIfIntCompareSlotConstFalse
     0.03s  0.77% 45.15%      0.14s  3.57%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlot
     0.03s  0.77% 45.92%      0.04s  1.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).releaseActiveValueSlotFloatFrame
     0.03s  0.77% 46.68%      0.11s  2.81%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).resetForRun
     0.03s  0.77% 47.45%      1.81s 46.17%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runDetached
     0.03s  0.77% 48.21%      0.05s  1.28%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).slotRuntimeValue
     0.03s  0.77% 48.98%      0.08s  2.04%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawIntegerValue
     0.03s  0.77% 49.74%      0.04s  1.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeSlotBinaryIntSlotConstI32RawFast
     0.03s  0.77% 50.51%      0.09s  2.30%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).tryStoreRawIntegerSlotValue
     0.03s  0.77% 51.28%      0.05s  1.28%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerValue
     0.03s  0.77% 52.04%      0.06s  1.53%  able/interpreter-go/pkg/interpreter.bytecodeSlotReadValue
     0.03s  0.77% 52.81%      0.05s  1.28%  able/interpreter-go/pkg/interpreter.canonicalizeExpandedTypeExpression
     0.03s  0.77% 53.57%      0.03s  0.77%  internal/runtime/gc/scan.scanSpanPackedAVX512
     0.03s  0.77% 54.34%      0.10s  2.55%  runtime.mapaccess2
     0.03s  0.77% 55.10%      0.04s  1.02%  runtime.mapaccess2_fast64
     0.03s  0.77% 55.87%      0.03s  0.77%  runtime.memclrNoHeapPointers
     0.03s  0.77% 56.63%      0.03s  0.77%  runtime.nextFreeFast (inline)
     0.02s  0.51% 57.14%      0.04s  1.02%  able/interpreter-go/pkg/interpreter.(*Interpreter).expandTypeAliasesCached
     0.02s  0.51% 57.65%      0.02s  0.51%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).acquireSmallHotSlotFrame
     0.02s  0.51% 58.16%      0.02s  0.51%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).coerceProgramReturnValue
     0.02s  0.51% 58.67%      1.56s 39.80%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execArrayReadSlot
