File: able-stateful-interpreter.test
Build ID: 6f45f521c0dd61d3c2b0907a5b8d7f47b60868ff
Type: cpu
Time: 2026-07-23 11:48:18 CDT
Duration: 5.46s, Total samples = 5.44s (99.71%)
Showing nodes accounting for 4.34s, 79.78% of 5.44s total
Dropped 170 nodes (cum <= 0.03s)
Showing top 120 nodes out of 201
      flat  flat%   sum%        cum   cum%
     0.52s  9.56%  9.56%      0.52s  9.56%  sync/atomic.(*Int32).Add (inline)
     0.35s  6.43% 15.99%      0.46s  8.46%  runtime.tryDeferToSpanScan
     0.33s  6.07% 22.06%         5s 91.91%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.15s  2.76% 24.82%      0.19s  3.49%  able/interpreter-go/pkg/interpreter.structDefinitionNamedFieldIndex
     0.10s  1.84% 26.65%      0.10s  1.84%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.10s  1.84% 28.49%      0.10s  1.84%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.09s  1.65% 30.15%      0.13s  2.39%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     0.09s  1.65% 31.80%      0.79s 14.52%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.09s  1.65% 33.46%      0.09s  1.65%  internal/runtime/gc/scan.scanSpanPackedAVX512
     0.07s  1.29% 34.74%      0.17s  3.12%  able/interpreter-go/pkg/interpreter.evaluateDivModFast
     0.06s  1.10% 35.85%      1.42s 26.10%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallOpcode
     0.06s  1.10% 36.95%      0.06s  1.10%  memeqbody
     0.06s  1.10% 38.05%      0.06s  1.10%  runtime.nextFreeFast (inline)
     0.06s  1.10% 39.15%      0.06s  1.10%  runtime.spanClass.sizeclass (inline)
     0.05s  0.92% 40.07%      0.48s  8.82%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).tryInlineResolvedCallFromStack
     0.05s  0.92% 40.99%      0.14s  2.57%  able/interpreter-go/pkg/interpreter.bytecodeMaterializeRawIntegerValue
     0.05s  0.92% 41.91%      0.13s  2.39%  able/interpreter-go/pkg/interpreter.evaluateIntegerArithmeticFast
     0.04s  0.74% 42.65%      0.11s  2.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendStackValue (inline)
