File: interpreter.test
Build ID: 233fe2dcfb36f17de43efae9a8305f5abf6b076c
Type: cpu
Time: 2026-07-23 09:30:18 CDT
Duration: 7.15s, Total samples = 7.14s (99.91%)
Showing nodes accounting for 4.52s, 63.31% of 7.14s total
Dropped 201 nodes (cum <= 0.04s)
Showing top 60 nodes out of 208
      flat  flat%   sum%        cum   cum%
     0.62s  8.68%  8.68%      7.01s 98.18%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.60s  8.40% 17.09%      0.60s  8.40%  sync/atomic.(*Int32).Add (inline)
     0.20s  2.80% 19.89%      1.20s 16.81%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.18s  2.52% 22.41%      0.20s  2.80%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.14s  1.96% 24.37%      0.17s  2.38%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     0.12s  1.68% 26.05%      0.12s  1.68%  aeshashbody
     0.09s  1.26% 27.31%      0.20s  2.80%  runtime.mapaccess2_faststr
     0.08s  1.12% 28.43%      0.25s  3.50%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlot
     0.08s  1.12% 29.55%      0.80s 11.20%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedMemberMethodEntry
     0.07s  0.98% 30.53%      0.07s  0.98%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).clearActiveValueSlotFloat
     0.07s  0.98% 31.51%      0.29s  4.06%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedScopeEntryWithVersionInternal
     0.07s  0.98% 32.49%      0.18s  2.52%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerValue
     0.07s  0.98% 33.47%      0.25s  3.50%  able/interpreter-go/pkg/interpreter.evaluateDivModFast
     0.07s  0.98% 34.45%      0.25s  3.50%  runtime.mapaccess2
     0.07s  0.98% 35.43%      0.07s  0.98%  runtime.memclrNoHeapPointers
     0.07s  0.98% 36.41%      0.10s  1.40%  runtime.tryDeferToSpanScan
