File: interpreter.test
Build ID: 934a59cb3993fbe2bef5db44118764564899c466
Type: cpu
Time: 2026-07-27 13:13:05 CDT
Duration: 19s, Total samples = 18.92s (99.60%)
Showing nodes accounting for 15.72s, 83.09% of 18.92s total
Dropped 177 nodes (cum <= 0.09s)
Showing top 80 nodes out of 116
      flat  flat%   sum%        cum   cum%
     2.59s 13.69% 13.69%     18.77s 99.21%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.70s  3.70% 17.39%      6.92s 36.58%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.66s  3.49% 20.88%      0.66s  3.49%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.65s  3.44% 24.31%      2.40s 12.68%  able/interpreter-go/pkg/interpreter.evaluateDivModFast
     0.41s  2.17% 26.48%      0.42s  2.22%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawI64Value
     0.39s  2.06% 28.54%      0.42s  2.22%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendStackValue (inline)
     0.39s  2.06% 30.60%      0.39s  2.06%  able/interpreter-go/pkg/interpreter.ensureFitsInt64Type
     0.38s  2.01% 32.61%      0.57s  3.01%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendSlotStackValueChecked
     0.35s  1.85% 34.46%      0.45s  2.38%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerCompare
     0.34s  1.80% 36.26%         1s  5.29%  able/interpreter-go/pkg/interpreter.execBinaryDirectIntegerComparisonFast
     0.33s  1.74% 38.00%      0.59s  3.12%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedScopeEntryWithVersionInternal
     0.32s  1.69% 39.69%      0.98s  5.18%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedIdentifierName
     0.25s  1.32% 41.01%      0.50s  2.64%  runtime.mallocgcTiny
     0.23s  1.22% 42.23%      0.78s  4.12%  runtime.mallocgc
     0.20s  1.06% 43.29%      0.30s  1.59%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execPop (inline)
     0.20s  1.06% 44.34%      0.62s  3.28%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlot
     0.20s  1.06% 45.40%      0.20s  1.06%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeRawI64Slot
     0.20s  1.06% 46.46%      0.71s  3.75%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerValue
     0.20s  1.06% 47.52%      0.21s  1.11%  able/interpreter-go/pkg/interpreter.bytecodeDirectSameTypeSmallIntPair
     0.20s  1.06% 48.57%      0.48s  2.54%  able/interpreter-go/pkg/interpreter.bytecodeIntegerImmediateRawFast
     0.19s  1.00% 49.58%      0.19s  1.00%  able/interpreter-go/pkg/interpreter.ratioPartsFromStruct
     0.19s  1.00% 50.58%      0.19s  1.00%  sync/atomic.(*Int32).Add (inline)
     0.18s  0.95% 51.53%      0.48s  2.54%  runtime.mapaccess2_faststr
     0.17s   0.9% 52.43%      0.17s   0.9%  able/interpreter-go/pkg/interpreter.unwrapFastBinaryScalarValue (inline)
     0.16s  0.85% 53.28%      0.16s  0.85%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).activeScopeLookupCacheEntries
     0.16s  0.85% 54.12%      1.40s  7.40%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCastOpcode
     0.16s  0.85% 54.97%      0.18s  0.95%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).setStackValue (inline)
     0.16s  0.85% 55.81%      0.16s  0.85%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackValue (inline)
     0.16s  0.85% 56.66%      0.22s  1.16%  able/interpreter-go/pkg/interpreter.bytecodeArraySlotIndexI32
     0.16s  0.85% 57.51%      0.61s  3.22%  able/interpreter-go/pkg/runtime.ArrayStoreMonoPrimitiveReadInfoIntoFresh
     0.15s  0.79% 58.30%      0.35s  1.85%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).tryStoreRawIntegerSlotValue
     0.14s  0.74% 59.04%      0.49s  2.59%  able/interpreter-go/pkg/interpreter.(*Interpreter).typeExpressionReferencesAliasCached
     0.14s  0.74% 59.78%      0.37s  1.96%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeSlotBinaryIntSlotConstFastResult
     0.14s  0.74% 60.52%      3.14s 16.60%  able/interpreter-go/pkg/interpreter.ApplyBinaryOperatorFast
     0.13s  0.69% 61.21%      1.61s  8.51%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execArrayReadSlot
     0.13s  0.69% 61.89%      0.13s  0.69%  able/interpreter-go/pkg/interpreter.bytecodeDirectRawFloatValue (inline)
     0.13s  0.69% 62.58%      0.13s  0.69%  able/interpreter-go/pkg/interpreter.mulInt64Overflow (inline)
     0.13s  0.69% 63.27%      0.13s  0.69%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.13s  0.69% 63.95%      0.26s  1.37%  runtime.(*_panic).nextDefer
     0.12s  0.63% 64.59%      1.37s  7.24%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMemberArraySlot
     0.12s  0.63% 65.22%      0.20s  1.06%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).pop
     0.12s  0.63% 65.86%      1.09s  5.76%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).readArraySlotValueFastChecked
     0.12s  0.63% 66.49%      0.47s  2.48%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawIntegerValue
     0.12s  0.63% 67.12%      0.12s  0.63%  internal/sync.(*Mutex).Unlock (inline)
     0.11s  0.58% 67.71%      1.08s  5.71%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execArrayLenMemberFast
     0.11s  0.58% 68.29%      0.11s  0.58%  able/interpreter-go/pkg/interpreter.boxedSmallIntValue
     0.11s  0.58% 68.87%      0.25s  1.32%  able/interpreter-go/pkg/interpreter.bytecodeBoxedIntegerValue
     0.11s  0.58% 69.45%      0.24s  1.27%  able/interpreter-go/pkg/interpreter.bytecodeDirectFloatValue (inline)
     0.11s  0.58% 70.03%      0.12s  0.63%  able/interpreter-go/pkg/interpreter.promoteIntegerTypes
     0.11s  0.58% 70.61%      0.11s  0.58%  internal/runtime/maps.(*groupReference).key (inline)
     0.11s  0.58% 71.19%      0.11s  0.58%  runtime.nextFreeFast (inline)
     0.10s  0.53% 71.72%      1.02s  5.39%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlotBinaryIntSlotConst
     0.10s  0.53% 72.25%      0.38s  2.01%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlotBinaryIntSlotConstDiscardI32Fast
     0.10s  0.53% 72.78%      0.11s  0.58%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runtimeData
     0.10s  0.53% 73.31%      0.94s  4.97%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerResultValue
     0.10s  0.53% 73.84%      0.10s  0.53%  aeshashbody
     0.10s  0.53% 74.37%      0.10s  0.53%  runtime.popDefer
     0.10s  0.53% 74.89%      0.13s  0.69%  runtime.tryDeferToSpanScan
     0.09s  0.48% 75.37%      0.32s  1.69%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendRawIntegerStack
     0.09s  0.48% 75.85%      0.92s  4.86%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinaryIntSlotConstRawFast
     0.09s  0.48% 76.32%      0.46s  2.43%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execJumpIfBinaryCompareFalse
     0.09s  0.48% 76.80%      0.14s  0.74%  able/interpreter-go/pkg/interpreter.bytecodeDirectFloatCompareFast
     0.09s  0.48% 77.27%      0.35s  1.85%  runtime.mapaccess2
     0.08s  0.42% 77.70%      1.40s  7.40%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).arrayReadSlotValue
     0.08s  0.42% 78.12%      0.15s  0.79%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeOwnedI32SlotRaw
     0.08s  0.42% 78.54%      0.22s  1.16%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeSlotBinaryIntSlotConstFastResult.func1
     0.08s  0.42% 78.96%      0.84s  4.44%  runtime.convT64
     0.07s  0.37% 79.33%      0.27s  1.43%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishCompletedCall
     0.07s  0.37% 79.70%      0.12s  0.63%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishStoreSlotBinaryIntSlotConstFastResult
     0.07s  0.37% 80.07%      0.43s  2.27%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).replaceTop2RawIntegerUnchecked
     0.07s  0.37% 80.44%      1.05s  5.55%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).resolveCachedIdentifierName
     0.06s  0.32% 80.76%      0.68s  3.59%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStoreSlotOpcode
     0.06s  0.32% 81.08%      0.12s  0.63%  able/interpreter-go/pkg/interpreter.bytecodeSlotReadValue
     0.06s  0.32% 81.40%      0.25s  1.32%  able/interpreter-go/pkg/interpreter.isRatioValue (inline)
     0.06s  0.32% 81.71%      0.50s  2.64%  able/interpreter-go/pkg/runtime.ArrayStoreSize
     0.06s  0.32% 82.03%      0.16s  0.85%  runtime.mapaccess2_fast64
     0.05s  0.26% 82.29%      1.63s  8.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallOpcode
     0.05s  0.26% 82.56%      0.65s  3.44%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execLoadSlotOpcode
     0.05s  0.26% 82.82%      0.14s  0.74%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).replaceTop2Unchecked (inline)
     0.05s  0.26% 83.09%      0.11s  0.58%  able/interpreter-go/pkg/interpreter.isIntegerValue (inline)
