File: compiled
Build ID: 4c108c9842c44d5177f5ee9f5c8e486c54aa9061
Type: cpu
Time: 2026-07-27 13:10:37 CDT
Duration: 253.70ms, Total samples = 280ms (110.37%)
Showing nodes accounting for 280ms, 100% of 280ms total
      flat  flat%   sum%        cum   cum%
     130ms 46.43% 46.43%      130ms 46.43%  main.__able_divmod_signed
      60ms 21.43% 67.86%       60ms 21.43%  main.__able_checked_mul_signed
      40ms 14.29% 82.14%       40ms 14.29%  main.__able_checked_add_signed
      30ms 10.71% 92.86%      280ms   100%  main.__able_compiled_fn_main
      10ms  3.57% 96.43%       10ms  3.57%  internal/runtime/maps.(*Map).directoryIndex (inline)
      10ms  3.57%   100%       10ms  3.57%  runtime.(*mspan).writeHeapBitsSmall
         0     0%   100%       10ms  3.57%  able/interpreter-go/pkg/compiler/bridge.ToDynamicI64
         0     0%   100%       10ms  3.57%  able/interpreter-go/pkg/runtime.(*HashMapValue).HashCandidates (inline)
         0     0%   100%      280ms   100%  main.RunRegisteredMain
         0     0%   100%      280ms   100%  main.RunRegisteredMain.func1
         0     0%   100%       20ms  7.14%  main.__able_compiled_fn_chunk_count
         0     0%   100%       20ms  7.14%  main.__able_compiled_fn_record_chunk
         0     0%   100%       20ms  7.14%  main.__able_compiled_method_HashMap_raw_get_spec
         0     0%   100%       10ms  3.57%  main.__able_hash_map_find_entry
         0     0%   100%       10ms  3.57%  main.__able_hash_map_get_impl
         0     0%   100%      280ms   100%  main.__able_register_compiled_call.func1
         0     0%   100%      280ms   100%  main.__able_wrap_fn_main
         0     0%   100%      280ms   100%  main.main
         0     0%   100%      280ms   100%  main.runMain
         0     0%   100%       10ms  3.57%  runtime.convT
         0     0%   100%       10ms  3.57%  runtime.heapSetTypeNoHeader (inline)
         0     0%   100%      280ms   100%  runtime.main
         0     0%   100%       10ms  3.57%  runtime.mallocgc
         0     0%   100%       10ms  3.57%  runtime.mallocgcSmallScanNoHeader
         0     0%   100%       10ms  3.57%  runtime.mapaccess1_fast64
