benchmark	variant	run	allocated_bytes	allocations
future_await_race	retained	1	906768	15537
future_await_race	retained	2	909416	15506
future_await_race	retained	3	917920	15660
future_await_race	retained	4	909592	15489
future_await_race	retained	5	914528	15513
future_await_race	embedded	1	903544	14660
future_await_race	embedded	2	886408	14577
future_await_race	embedded	3	895160	14551
future_await_race	embedded	4	892464	14433
future_await_race	embedded	5	894160	14459
await_channel_mux	retained	1	10532392	189440
await_channel_mux	retained	2	10537856	189453
await_channel_mux	retained	3	10535936	189436
await_channel_mux	retained	4	10537824	189443
await_channel_mux	retained	5	10535696	189430
await_channel_mux	embedded	1	10392056	179170
await_channel_mux	embedded	2	10400432	179192
await_channel_mux	embedded	3	10401880	179227
await_channel_mux	embedded	4	10403888	179218
await_channel_mux	embedded	5	10412368	179245
mutex_await_journal	retained	1	5374656	98487
mutex_await_journal	retained	2	5460976	100495
mutex_await_journal	retained	3	5405008	99200
mutex_await_journal	retained	4	5407776	99261
mutex_await_journal	retained	5	5511720	101656
mutex_await_journal	embedded	1	5383352	91487
mutex_await_journal	embedded	2	5408096	91991
mutex_await_journal	embedded	3	5469080	93252
mutex_await_journal	embedded	4	5394080	91702
mutex_await_journal	embedded	5	5446304	92769
mutex_work_queue	retained	1	11227120	207672
mutex_work_queue	retained	2	11144440	205739
mutex_work_queue	retained	3	11143184	205724
mutex_work_queue	retained	4	11063136	203977
mutex_work_queue	retained	5	10999616	202388
mutex_work_queue	embedded	1	10992768	187728
mutex_work_queue	embedded	2	10956920	186982
mutex_work_queue	embedded	3	10987808	187615
mutex_work_queue	embedded	4	11040576	188719
mutex_work_queue	embedded	5	11098688	189930
