benchmark	pair	position	variant	elapsed_ns	stdout_sha256
future_await_race	1	1	retained	17455966	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	1	2	embedded	18370350	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	2	1	embedded	16899941	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	2	2	retained	16942865	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	3	1	retained	17956641	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	3	2	embedded	18605853	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	4	1	embedded	20298161	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	4	2	retained	17271307	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	5	1	retained	51200803	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	5	2	embedded	21939486	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	6	1	embedded	18645766	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	6	2	retained	20180557	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	7	1	retained	18623691	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	7	2	embedded	17207303	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	8	1	embedded	18046278	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	8	2	retained	17061593	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	9	1	retained	21775055	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	9	2	embedded	29895372	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	10	1	embedded	22200559	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	10	2	retained	23235163	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	11	1	retained	30592544	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	11	2	embedded	23716729	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	12	1	embedded	25782596	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	12	2	retained	24233285	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	13	1	retained	20597556	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	13	2	embedded	29329699	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	14	1	embedded	41833223	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	14	2	retained	24563045	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	15	1	retained	24665375	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
future_await_race	15	2	embedded	22031259	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4
await_channel_mux	1	1	retained	114220310	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	1	2	embedded	98981196	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	2	1	embedded	100909620	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	2	2	retained	144978938	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	3	1	retained	113765524	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	3	2	embedded	129748753	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	4	1	embedded	165590523	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	4	2	retained	109421077	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	5	1	retained	111757155	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	5	2	embedded	105696239	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	6	1	embedded	153913606	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	6	2	retained	158446251	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	7	1	retained	153205132	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	7	2	embedded	118518131	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	8	1	embedded	108226715	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	8	2	retained	127223495	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	9	1	retained	203112787	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
await_channel_mux	9	2	embedded	123596041	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693
