File: compiled
Build ID: 1a0f404db5136c82fcba614055d5e1964664ceba
Type: cpu
Time: 2026-07-27 23:58:15 CDT
Duration: 846.42ms, Total samples = 880ms (103.97%)
Showing nodes accounting for 690ms, 78.41% of 880ms total
Showing top 30 nodes out of 234
      flat  flat%   sum%        cum   cum%
      90ms 10.23% 10.23%      200ms 22.73%  runtime.pcvalue
      70ms  7.95% 18.18%       70ms  7.95%  runtime.step
      50ms  5.68% 23.86%       50ms  5.68%  runtime.findfunc
      50ms  5.68% 29.55%      100ms 11.36%  runtime.gwrite
      50ms  5.68% 35.23%       50ms  5.68%  runtime.lock2
      30ms  3.41% 38.64%       60ms  6.82%  runtime.printunlock
      30ms  3.41% 42.05%       50ms  5.68%  runtime.recordForPanic
      30ms  3.41% 45.45%       30ms  3.41%  runtime.unlock2
      20ms  2.27% 47.73%       20ms  2.27%  runtime.(*mspan).writeHeapBitsSmall
      20ms  2.27% 50.00%       20ms  2.27%  runtime.futex
      20ms  2.27% 52.27%       20ms  2.27%  runtime.memclrNoHeapPointers
      20ms  2.27% 54.55%       20ms  2.27%  runtime.memmove
      20ms  2.27% 56.82%       20ms  2.27%  runtime.printFuncName
      20ms  2.27% 59.09%       40ms  4.55%  runtime.printhexopts
      20ms  2.27% 61.36%       20ms  2.27%  runtime.publicationBarrier
      10ms  1.14% 62.50%       10ms  1.14%  able/interpreter-go/pkg/compiler/bridge.staticIntegerType
      10ms  1.14% 63.64%       10ms  1.14%  aeshashbody
      10ms  1.14% 64.77%       10ms  1.14%  internal/byteorder.LEUint64
      10ms  1.14% 65.91%       10ms  1.14%  internal/sync.(*Mutex).Unlock
      10ms  1.14% 67.05%       10ms  1.14%  main.__able_checked_mul_signed
      10ms  1.14% 68.18%      220ms 25.00%  main.__able_compiled_fn_main_ctx.func3
      10ms  1.14% 69.32%       50ms  5.68%  main.__able_compiled_method_Channel_await_receive_spec_ctx
      10ms  1.14% 70.45%       10ms  1.14%  main.__able_control_from_error_with_node
      10ms  1.14% 71.59%       10ms  1.14%  main.__able_is_callable_value
      10ms  1.14% 72.73%       10ms  1.14%  runtime.(*gcControllerState).trigger
      10ms  1.14% 73.86%       80ms  9.09%  runtime.(*inlineUnwinder).fileLine (inline)
      10ms  1.14% 75.00%       10ms  1.14%  runtime.(*moduledata).textAddr
      10ms  1.14% 76.14%       10ms  1.14%  runtime.(*unwinder).cgoCallers
      10ms  1.14% 77.27%       10ms  1.14%  runtime.acquirem (inline)
      10ms  1.14% 78.41%       10ms  1.14%  runtime.adjustdefers
