benchmark	run	current_gid_calls	stdout_sha256	binary_sha256
await_channel_mux	1	23555	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	3886d928de323b733217ab40b1b7ca6d1a693011349152c58b5030f717dd4b1a
await_channel_mux	2	23555	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	3886d928de323b733217ab40b1b7ca6d1a693011349152c58b5030f717dd4b1a
await_channel_mux	3	23555	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	3886d928de323b733217ab40b1b7ca6d1a693011349152c58b5030f717dd4b1a
await_channel_mux	4	23555	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	3886d928de323b733217ab40b1b7ca6d1a693011349152c58b5030f717dd4b1a
await_channel_mux	5	23555	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	3886d928de323b733217ab40b1b7ca6d1a693011349152c58b5030f717dd4b1a
mutex_await_journal	1	28490	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ec83f82e9bea5b12b3b103b50df012ad09e92beb7fc70bda9d9e8a3440d8a71d
mutex_await_journal	2	29160	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ec83f82e9bea5b12b3b103b50df012ad09e92beb7fc70bda9d9e8a3440d8a71d
mutex_await_journal	3	27533	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ec83f82e9bea5b12b3b103b50df012ad09e92beb7fc70bda9d9e8a3440d8a71d
mutex_await_journal	4	28205	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ec83f82e9bea5b12b3b103b50df012ad09e92beb7fc70bda9d9e8a3440d8a71d
mutex_await_journal	5	26011	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ec83f82e9bea5b12b3b103b50df012ad09e92beb7fc70bda9d9e8a3440d8a71d
mutex_work_queue	1	63552	57d3c0d15899da95d375a749cfe34dcc6942eb82a45427f197b9244b85ff8e58	4551a6e175dd7c951880faee6ffb82cccd5367d67ef14d478afd6cc3187a7611
mutex_work_queue	2	62451	57d3c0d15899da95d375a749cfe34dcc6942eb82a45427f197b9244b85ff8e58	4551a6e175dd7c951880faee6ffb82cccd5367d67ef14d478afd6cc3187a7611
mutex_work_queue	3	62527	57d3c0d15899da95d375a749cfe34dcc6942eb82a45427f197b9244b85ff8e58	4551a6e175dd7c951880faee6ffb82cccd5367d67ef14d478afd6cc3187a7611
mutex_work_queue	4	62801	57d3c0d15899da95d375a749cfe34dcc6942eb82a45427f197b9244b85ff8e58	4551a6e175dd7c951880faee6ffb82cccd5367d67ef14d478afd6cc3187a7611
mutex_work_queue	5	63741	57d3c0d15899da95d375a749cfe34dcc6942eb82a45427f197b9244b85ff8e58	4551a6e175dd7c951880faee6ffb82cccd5367d67ef14d478afd6cc3187a7611
