benchmark	source_sha256	compiled_sha256	binary_sha256	interpreter_free	ratio_source_occurrences	ratio_linked_symbol	ratio_linked_diagnostic	ratio_probe_status	ratio_probe_stdout_sha256	map_spread_source_sites	map_spread_linked_diagnostic
fib	1613bf12ba84db9d59c04eb8a2d9b9912d27f51696b22210743e1e499f52ae02	c182e1a8b325a05f2afdc93178f62b3ef3127653edadf9c77c4941a494624a52	215476fcb9b6cb03f8747a0d29d7d30a4e05a3cb85a1d6dfd5d6df06612cfe23	true	3	false	false	not-linked	n/a		false
binarytrees	d973598c0ca4e88fcbe96dc852fa64a935cd651b3b85be10121222e9694293d8	4915bc79a4d75383aef84627a6b9ba2401063935953a9d047684f96a0cbc213b	454e213c57622c176668f4cf6f7f1d581abbf9b8333255888b2f0b7710253ba6	true	3	false	false	not-linked	n/a		false
matrixmultiply	f4e1ae5575094ab725db5ee0adb81eb6783221844aac9ef99b8f820f56c18246	b3055ec5912d9b525482f6b72d9b3a07451c20e6cdb50dc57f62dcf571631834	b5af53a04c3600c984fd5adede45e941490fef23701291270c3179163427906e	true	3	false	false	not-linked	n/a		false
quicksort	f54986a03bce5d3fa5bb8d1dd342299c1b6a434a682572d353c46d5f66c1af92	7a623fccf9833dcdf55a63f0f76c69a447d36031f7ea8403c86bc6374123a5a5	4f7aa6d2f32b3a16899c41d8eb299376bb84bb396410f7be100ba1ddd186e42b	true	3	true	true	verified-no-hit	d0d07db0afd4266c1b6de5e76438bfa6aa974727e06c74e280aa7b497ca0e8b3		false
sudoku_masks	fd918bf940bf22973fb205b1f1fa1be9de07a8774ad79138c9bc8a95acb43d6b	13ea9f29b9b7312b2a7e8a7b1d6f755bd11a0363799981cbb45bf6d639a15e71	0b69624b39704adf5fe754f3145941079dc5a9b660c85664b17104929ddc7681	true	3	true	true	verified-no-hit	35a81e448daf9986f2a9b7c3a873dc6216bd55c969efec50c9b1de6d866659ec		false
i_before_e	4cabfaeebf777072eb41a2411a7b9467386be7fcb55303ede708d8da50f057d9	52ce68d0c13e988be3e8abcf0383c5d4091633617e0747f1c1924dba5f8a1e8c	4d6b2acf9736c40b7648429e4a9daaa97fe065d69fdde4199f20f237ea1ed300	true	3	true	true	verified-no-hit	981f0d37a277be25f359c097e10df2ef68009fea2d3e322aeed3a65d0fbaca39		false
base64	b4676ab1b4392ed4433d7a2ce57c7388907e4719494e6edce32728b071750108	ffe1df67db4d0acfe0eb965f3f076eec56dbbd3c1383acb63515ffb9bcb93ef6	6a182db6c5ba9c0cac30751306f1ca7df66524c803200a262a16b9a83420e435	true	3	false	false	not-linked	n/a		false
backup_dedup	e29c9ccd3c94346397695303b1fb83d4e705aa9ce2d5b7194b8964268822f944	8d1297b39bc86467439328a4c43a6bb6e3e7d798e5c1a1e8f5d8a7118abdf002	c10df043ab9424cd68d30949161c3756fb6f218c06d7f3761e39ab539572a6a9	true	3	true	true	verified-no-hit	bf4d5c89239bd78c6dcb9d755b8df4e90bc092c2a64bf15e45786e815918504e		false
binary_event_log	658bf062ac063af7302544b1e9d2bc30d21c5c3b535e48634f40c20ba2c8d2ea	7be4f8d2082396de269933c239732dfa22b75de0fdea0f1c774b5529d18d29c6	73bae02c4e69dcc674800639c158fe04527d1eb8e084ff4dcafdc71a77058b72	true	3	true	true	verified-no-hit	fb075dc8606582c1e6a1d5e520fa8dda237fc7304044b84b3f8f3a2c6b1c36e9		false
json	84a895d80fee86e71b65c3614dc71088ef36d5a469b2756162007ee49d45b62a	2485eeff1776bba0360cba0103844e556fa4e95b69f9f017b217c7e880f538ce	84dca19369d9733027baebaf1ed8067b7fa3b692ef018a8833ebe31d7e6706ee	true	3	true	true	verified-no-hit	7cbf9736119f7683d59646bea566591a2ef278db54286b8e2525aa39e907839e		false
