benchmark	cohort	position	lane	duration_ns	status	stdout_sha256	binary_sha256
future_await_race	1	1	baseline	30314096	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	1	2	candidate	35816191	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	1	3	go	5017256	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	2	1	candidate	32508127	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	2	2	go	4323746	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	2	3	baseline	30535593	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	3	1	go	4228853	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	3	2	baseline	31838106	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	3	3	candidate	42845542	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	4	1	baseline	45739310	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	4	2	candidate	44131088	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	4	3	go	5373864	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	5	1	candidate	39908994	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	5	2	go	4042317	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	5	3	baseline	37943279	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	6	1	go	4961660	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	6	2	baseline	44536337	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	6	3	candidate	40933736	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	7	1	baseline	41553718	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	7	2	candidate	35781699	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	7	3	go	4291613	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	8	1	candidate	33261867	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	8	2	go	4251145	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	8	3	baseline	34614458	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	9	1	go	3995693	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	9	2	baseline	32363371	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	9	3	candidate	26268515	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	10	1	baseline	27458629	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	10	2	candidate	34615852	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	10	3	go	4911841	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	11	1	candidate	44187022	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	11	2	go	4627593	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	11	3	baseline	41865056	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	12	1	go	4041400	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	12	2	baseline	30715787	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	12	3	candidate	30234663	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	13	1	baseline	33576676	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	13	2	candidate	33779383	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	13	3	go	3769351	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	14	1	candidate	29046929	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	14	2	go	4142550	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	14	3	baseline	29925579	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	15	1	go	4603236	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	15	2	baseline	33023073	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	15	3	candidate	33595462	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	16	1	baseline	33801631	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	16	2	candidate	34384273	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	16	3	go	4017020	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	17	1	candidate	33460960	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	17	2	go	3664896	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	17	3	baseline	26964200	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	18	1	go	3962870	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	18	2	baseline	29045916	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	18	3	candidate	31961962	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	19	1	baseline	30193017	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	19	2	candidate	29736306	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	19	3	go	4759863	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	20	1	candidate	36069199	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	20	2	go	4013480	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	20	3	baseline	26888740	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	21	1	go	4677644	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
