benchmark	source_sha256	compiled_sha256	native_array_carriers	direct_generic_carriers	hashmap_carriers	channel_carriers	hashmap_methods	channel_methods	user_structs	user_generic_structs	map_interface
fib	1613bf12ba84db9d59c04eb8a2d9b9912d27f51696b22210743e1e499f52ae02	e42279a07046dd136331cbf5e2070a6ecda01ce4669c12f78af2c1e871dd3ddb	15	0	0	0	0	0	0	0	false
binarytrees	d973598c0ca4e88fcbe96dc852fa64a935cd651b3b85be10121222e9694293d8	4fc11080018ac8952c383669459ae3c02b5f378e05fd25ec44e354a2553c02a1	15	0	0	0	0	0	2	0	false
matrixmultiply	f4e1ae5575094ab725db5ee0adb81eb6783221844aac9ef99b8f820f56c18246	fab51a5d8a64090181c06869b0fd4f0fd223d2648d4c10ee99d369317b5fd238	16	1	0	0	0	0	0	0	false
quicksort	f54986a03bce5d3fa5bb8d1dd342299c1b6a434a682572d353c46d5f66c1af92	956cd211f89796da18442e920c844e21913e9e69d67a9e18f9a57987a7edda49	17	5	0	0	0	0	0	0	false
sudoku_masks	fd918bf940bf22973fb205b1f1fa1be9de07a8774ad79138c9bc8a95acb43d6b	e239c1ce4501c7fefdb1095b0e3e6ddd404809fbd78fe5cf391131125c53ef4f	18	5	0	0	0	0	1	0	false
i_before_e	4cabfaeebf777072eb41a2411a7b9467386be7fcb55303ede708d8da50f057d9	8b5d4116f0c421cf3d9fed7aa2e2b94c9716f01b02bfa25a015fc51915838678	17	5	0	0	0	0	0	0	false
base64	b4676ab1b4392ed4433d7a2ce57c7388907e4719494e6edce32728b071750108	a0ec56a03f41b80c0551791cc861df67ff99df7e4866d0000b31cb9dd9014cb7	15	0	0	0	0	0	0	0	false
backup_dedup	e29c9ccd3c94346397695303b1fb83d4e705aa9ce2d5b7194b8964268822f944	4254f86f5ff58b02939313581687ce58b30f97adea6e5f3246c7e21bcda36ece	17	5	1	0	3	0	2	0	false
binary_event_log	658bf062ac063af7302544b1e9d2bc30d21c5c3b535e48634f40c20ba2c8d2ea	e5c2b254b592e6bd15a9543f419709a419fd5e116e697b3f6b5b25478014caff	17	5	1	0	4	0	2	0	false
json	84a895d80fee86e71b65c3614dc71088ef36d5a469b2756162007ee49d45b62a	4f8b36aed7326f651a039e6e98282cc2e2e053d50ff9a1df27ccb5e6bde6e9f4	19	5	0	0	0	0	0	0	false
monte_carlo_pi	9afb1620c5f41eed0b519e225cf7a7cc32e837ccfccd2e047d56175c1805aa0c	a76391fb07c5b5b27a4ea2c875ed9bec4d78c01ad881dd8b3428ad14ec6e0155	15	0	0	0	0	0	0	0	false
pidigits	236a74ef456b4a5ca3e33a743a0b3b8e8767db9cfa07dd619df870bff876d5cb	f36bd5af119efe67ddd4c7f51f5bce56e52bdefa6dfa0760b45d6b08548d4758	16	4	0	0	0	0	0	0	false
mandelbrot	663385828c4e7318bac285c4fcce27d3b435f9a3536a1a20b3cfa09af2a32315	790251e600c5b37ffb17ee973c5370f26380e2da2b7f75582eacef1f25f0e1bd	16	4	0	0	0	0	0	0	false
reverse_complement	4bd16d4b6c65362efc5b2515548f59686144553a91eadcc65a0cde6df537e5f9	5622974e4ba8e2d5bfaf79d42c84555947692556b11cf60f707445998a0bd0c8	17	5	0	0	0	0	0	0	false
k_nucleotide	933749cb33f84a88274e010f7459d027be839a42162f0d559eca8a1920aa8a2a	749fbfa6c5f33004371aed6547f63b746f2d65a86e14e8007617b98eddf78727	18	11	1	0	4	0	1	0	false
nbody	697e6d589629213c9fcbcaf7b2607fb7f9d98035dce04ef829ce71e2c12acef9	e9b24cd555f62a3431a44b71a89c3fe8ef0306b7cab424331fca2267cb26087d	15	7	0	0	0	0	0	0	false
tapelang_alphabet	426a40e33840f3a0e9e62d5f9b9519a6840edd2733b8031df6a280e4b782fdb8	420f6dbe629582f41200f8c5ae62b88b446a9cc3e405f8bdbb1ddf3961268370	17	5	0	0	0	0	2	0	false
distance_field	80f96ee942dafbf81b7e09edfc3410c3af37ed3190357fcf77c5d9641a30cf88	de25cfb3b024f03ff1af321243720b33a1a1a4f4b8c648ab14a765220d61ba05	15	6	0	0	0	0	0	0	false
rms_norm	b289c78432f7c4077e259810c9e788341824899188821df669af345eed04dc59	f5143fd2781bbe13ef13b221d233d994cbccddb6772bc40c9b2841ecb0e91877	15	6	0	0	0	0	0	0	false
fasta_generation	7b30ce2139b20f4b30495a44e5afc99bb4ab664c2ec9e0817512784adcb06c0e	1cc905669f55979c10e4b8b4c50b594b319e279a3f259afce8fe15bf379190b2	16	4	0	0	0	0	0	0	false
fixed_width_128	330ce59771b6dc41a1c147c53d82bb65b43d9a09c018d11ee527c1431a829f0e	3c5873285b635a282e5f059faa4dbabfc926826bf3b239effaf5758312d2140d	15	6	0	0	0	0	0	0	false
rational_series	20a58261d852834d425de755ed35e7c34b0bda80945caf97a94d4ba9b2e0bf46	f40171c774b199f51658f878c4ac528606fac7d3c4c2773840a659a653f214a1	15	6	0	0	0	0	0	0	false
wide_integer_records	8ba1e245f5d169409d2d35ba53c3ba94a554fd6767ec8d9d4602fef064b8405d	8b25b6f49dfad7c81018497790914170e7874de9eb65619a01a630c7494dc499	16	10	0	0	0	0	0	0	false
word_frequency	ad6e5d39c1685931dfb7b86fb7ce2afe783a1088ffc646a5482540606cd79a3f	ec2022a6de58a2093e7958afb07840d38510983b0e172823655d147ffa389e6d	18	5	1	0	9	0	0	0	true
document_audit	4f3fe4b3ce2a782c67e79d1178ba0ef3165ff8917b1970a6c96ccd7e550f27f2	7c816a39e8f35806a6f06cb5f383d557845aaabf033ee356620fac79638eac83	20	8	0	0	0	0	0	0	false
lexical_rollup	567a239892f4f6b00e5d61e4d262857ff14687c31e16cd1d390d9e9dfb6b3159	e492e4a784de47b806a9a0541e4bad91a830a36b9bf8e2b25819b0fac03e5200	20	8	0	0	0	0	0	0	false
channel_rollup	cc7ddd6dca16348087e17b89f07a30afa536750d088606744f9c22ce0704808a	c6b40556ca4579e18ab15053d7c9616f3df878e83b57b6828ae9fbd1009bcdd9	18	5	0	2	0	10	0	0	false
future_pipeline	823bcdb46878c9d57ab6438bed3767861974227b96318572dc823f3da69067b7	1a02982a2ab7b36b23bc46aabc60305a30b8375b635842248d0266547ba86c3e	15	0	0	1	0	5	0	0	false
future_await_race	7950a425ac6225a577d7c234395ee4293d5c89c2ddfcb19fd87732e8d4d0335b	ed7bf8735af416ffb9c1d05800462fd4ea58cc716b85715c6df08bec3fcfc8c8	15	0	0	1	0	4	0	0	false
await_channel_mux	31bd5d760fff06cdd813c5520f961fbaadb5222908608f2630c183c8598f5b0c	f5601dcd604a8b787b9dda9be6d3d85dfa654eefb4a78bd4404aba35ef76b7a0	16	2	0	2	0	4	0	0	false
mutex_ledger	2975ac5ae318fd528fd353ee8846f4cb86104e8525a43c2aa1c31e05dfdb1a61	d9d4904bc3917234e2fd01688a3cf349fd19a2105ae30755310e596f170b8131	15	1	0	1	0	0	1	0	false
mutex_await_journal	3d17db99f2a06f2d87868dcb00e129d6f0cb18d4209b329e09bac281adaf8696	3e091ed72f00b86ca72ffee85ca837df7de7ba8024ba090551a9a9a99a0aad23	16	0	0	0	0	0	1	0	false
mutex_work_queue	8341715e210cd8342a49c32dd2d9ba01331f893b680e8a418f5ee2542a456113	7df0aa8a314b14e96c6e4986e1780351803689f0843623a1b58f982448e46cd3	16	1	0	1	0	0	1	0	false
regex_suffix_audit	7f8a1b031ae20c9af490cd21ac9846ea472b43c62cd082b22cb6e600fea2c5fe	2ff7b5487a034d9bb430587d5320aa3b9ab65f0a1cc2825d01afa8a2c280baf3	39	12	1	0	10	0	0	0	true
