benchmark	run	language	order	status	seconds	stdout_sha256	verification
binarytrees	1	able	1	0	11.559383	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	1	python	2	0	0.605622	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	1	ruby	3	0	0.557925	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	2	python	1	0	0.562457	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	2	ruby	2	0	0.605132	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	2	able	3	0	11.598028	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	3	ruby	1	0	0.570073	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	3	able	2	0	11.802541	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	3	python	3	0	0.558481	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	4	able	1	0	11.571122	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	4	python	2	0	0.607038	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	4	ruby	3	0	0.613437	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	5	python	1	0	0.587098	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	5	ruby	2	0	0.562216	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
binarytrees	5	able	3	0	11.597340	92b6df65f712164fc10a53dbc1085312406b233110001316a85b78ed0a16cfab	verified
