benchmark	run	real_seconds	output_sha256	verification
fib	1	0.15	231e154363ef69683f6dca862f5a448e786ccc90485636bc20a86e2e470a2188	verified
fib	2	0.16	231e154363ef69683f6dca862f5a448e786ccc90485636bc20a86e2e470a2188	verified
fib	3	0.19	231e154363ef69683f6dca862f5a448e786ccc90485636bc20a86e2e470a2188	verified
fib	4	0.16	231e154363ef69683f6dca862f5a448e786ccc90485636bc20a86e2e470a2188	verified
fib	5	0.12	231e154363ef69683f6dca862f5a448e786ccc90485636bc20a86e2e470a2188	verified
matrixmultiply	1	4.75	bce2053ea5fdc1351bf8d28398b346b894f8cf35c0e047effdca9dbb47e81d0c	verified
matrixmultiply	2	4.68	bce2053ea5fdc1351bf8d28398b346b894f8cf35c0e047effdca9dbb47e81d0c	verified
matrixmultiply	3	4.48	bce2053ea5fdc1351bf8d28398b346b894f8cf35c0e047effdca9dbb47e81d0c	verified
matrixmultiply	4	4.56	bce2053ea5fdc1351bf8d28398b346b894f8cf35c0e047effdca9dbb47e81d0c	verified
matrixmultiply	5	4.48	bce2053ea5fdc1351bf8d28398b346b894f8cf35c0e047effdca9dbb47e81d0c	verified
