application	function	bytes	instructions	calls	conditional_jumps	unconditional_jumps	sha256
tapelang_alphabet	__able_compiled_fn_execute_ctx	1069	283	17	34	19	1f7d61c203bf0287c88a101c0cadaa45cd55bd9f1aae07a0263cbce85678658e
tapelang_alphabet	__able_compiled_method_Tape_inc_ctx	305	84	4	10	6	3914dee282c21fce6ede94dd4bcd9e562579a52c1915cd9d12f4f74723069ed7
tapelang_alphabet	__able_compiled_method_Tape_move_ctx	261	69	4	5	3	4906f9dfe8a382809ce03fd8a37ebb3f1ae1af5948894b55f0ca44f2c8bb5fbb
sudoku_masks	__able_compiled_fn_find_best_empty_ctx	826	205	10	13	5	b466d1a277d56dc18612e6cbdd5b935276cd9cfefd02b8ba6df94b49ee346c25
sudoku_masks	__able_compiled_fn_bit_count_ctx	106	34	2	3	2	cb0b1c0cfb8ef9c77d5b71b512b26d265227c1d535e748bd6f2b58951c609d96
sudoku_masks	__able_compiled_fn_square_index_ctx	293	77	5	5	1	0f2b056429b0111b6e1794731ae1ae62e1ac8dd834b84ca328fe797ce73c8d80
sudoku_masks	__able_compiled_fn_solve_with_masks_ctx	1482	348	24	23	6	48a52f89bd02e20317cbcd5f8b988603b1ae0b3781e9e186da12d483e1790108
nbody	__able_compiled_fn_advance_ctx	1977	459	16	30	6	33c54a4b4a8d438ed2a4082268014b469b7dd8965a4bfef536926cf038bf76d2
nbody	__able_compiled_fn_energy_ctx	1157	273	14	15	4	111e515765ff8a365052a6eb11c3c8e7c04d8fce2fe8c92568dddff0f3dfb8a1
nbody	__able_compiled_fn_offset_momentum_ctx	666	180	11	10	3	107b7e473b797004d4c8b33fcc06fb6049a5fe255ed836c5a3b3ab2947b3cec9
matrixmultiply	__able_compiled_fn_matmul_ctx	1772	399	29	26	14	435916df3393d69e4da6426bda033fa7839691cc276cf66c7e5d59c21b56eb47
pidigits	__able_compiled_fn_next_term_ctx	627	156	16	11	2	d111a75e0fb287957e8a90ffa72a8aa715de5bad0dd2314d2e09710bd6c68f09
pidigits	__able_compiled_fn_eliminate_digit_ctx	383	95	11	6	1	342e57609e394d265c9eebf4d2a857dc9df1048b0955c7503b9e43dc8a41d6b2
