application	mean_allocated_bytes	mean_allocations	mean_gc	allocated_byte_samples	allocation_samples	gc_samples
binary_event_log	62449152	1073787	57.666666666666664	62449152,62449152,62449152	1073787,1073787,1073787	58,58,57
fixed_width_128	35536440	2220987	25	35536440,35536440,35536440	2220987,2220987,2220987	25,25,25
inventory_reconciliation	17037112	553060	14.333333333333334	17037112,17037096,17037128	553060,553060,553060	14,14,15
policy_record_dispatch	20607808	447310	19	20607856,20607776,20607792	447310,447310,447310	19,19,19
rational_series	672	21	1	672,672,672	21,21,21	1,1,1
regex_suffix_audit	5230600	154460.66666666666	5	5230680,5230560,5230560	154462,154460,154460	5,5,5
unicode_scalar_pipeline	24807437.333333332	2629749	22.333333333333332	24807448,24807432,24807432	2629749,2629749,2629749	22,22,23
validated_job_pipeline	1831792	32936.333333333336	1.6666666666666667	1831840,1831696,1831840	32937,32935,32937	1,2,2
wide_integer_records	10738269.333333334	640056	9	10738264,10738280,10738264	640056,640056,640056	9,9,9
word_frequency	3095536	56476	3.3333333333333335	3095536,3095536,3095536	56476,56476,56476	4,2,4
