File: compiled
Build ID: 486c97beb49084dd1a04192783747a196accdc33
Type: cpu
Time: 2026-07-28 09:43:04 CDT
Duration: 1.43s, Total samples = 1.58s (110.65%)
Showing nodes accounting for 1.39s, 87.97% of 1.58s total
Showing top 120 nodes out of 175
      flat  flat%   sum%        cum   cum%
         0     0%     0%      1.57s 99.37%  main.RunRegisteredMain
         0     0%     0%      1.57s 99.37%  main.RunRegisteredMain.func1
         0     0%     0%      1.57s 99.37%  main.__able_compiled_fn_main
     0.02s  1.27%  1.27%      1.57s 99.37%  main.__able_compiled_fn_main_ctx
         0     0%  1.27%      1.57s 99.37%  main.__able_register_compiled_call.func1
         0     0%  1.27%      1.57s 99.37%  main.__able_wrap_fn_main
         0     0%  1.27%      1.57s 99.37%  main.main
         0     0%  1.27%      1.57s 99.37%  main.runMain
         0     0%  1.27%      1.57s 99.37%  runtime.main
         0     0%  1.27%      0.96s 60.76%  main.__able_compiled_method_Result__map_spec_ctx
         0     0%  1.27%      0.94s 59.49%  main.__able_compiled_fn_main_ctx.func2
     0.04s  2.53%  3.80%      0.77s 48.73%  runtime.mallocgc
         0     0%  3.80%      0.74s 46.84%  main.__able_struct_EventRecord_to (inline)
     0.01s  0.63%  4.43%      0.74s 46.84%  main.__able_struct_EventRecord_to_seen
     0.01s  0.63%  5.06%      0.54s 34.18%  main.__able_compiled_fn_main_ctx.func1
         0     0%  5.06%      0.40s 25.32%  runtime.convT
     0.01s  0.63%  5.70%      0.39s 24.68%  able/interpreter-go/pkg/compiler/bridge.ToInt
     0.05s  3.16%  8.86%      0.39s 24.68%  runtime.mallocgcSmallScanNoHeader
         0     0%  8.86%      0.35s 22.15%  main.__able_struct_EventRecord_apply
     0.04s  2.53% 11.39%      0.34s 21.52%  main.__able_compiled_fn_parse_event_ctx
         0     0% 11.39%      0.30s 18.99%  runtime.systemstack
     0.01s  0.63% 12.03%      0.28s 17.72%  runtime.deductAssistCredit
         0     0% 12.03%      0.27s 17.09%  runtime.gcAssistAlloc
     0.01s  0.63% 12.66%      0.27s 17.09%  runtime.newobject
         0     0% 12.66%      0.26s 16.46%  runtime.gcAssistAlloc.func2
         0     0% 12.66%      0.26s 16.46%  runtime.gcAssistAlloc1
         0     0% 12.66%      0.26s 16.46%  runtime.gcDrainN
     0.02s  1.27% 13.92%      0.24s 15.19%  able/interpreter-go/pkg/runtime.NewStructInstancePositionalSized (inline)
     0.15s  9.49% 23.42%      0.15s  9.49%  main.__able_checked_mul_signed
         0     0% 23.42%      0.13s  8.23%  main.__able_compiled_fn_map_count_ctx
         0     0% 23.42%      0.13s  8.23%  main.__able_compiled_method_HashMap_raw_get_spec_ctx
     0.09s  5.70% 29.11%      0.13s  8.23%  runtime.tryDeferToSpanScan
     0.02s  1.27% 30.38%      0.11s  6.96%  main.__able_struct_EventRecord_from
     0.01s  0.63% 31.01%      0.11s  6.96%  runtime.scanSpan
     0.04s  2.53% 33.54%      0.10s  6.33%  main.__able_compiled_fn_record_checksum_ctx
         0     0% 33.54%      0.09s  5.70%  main.__able_hash_map_get_ctx (inline)
         0     0% 33.54%      0.09s  5.70%  main.__able_hash_map_get_impl
     0.04s  2.53% 36.08%      0.09s  5.70%  runtime.scanObject
         0     0% 36.08%      0.08s  5.06%  able/interpreter-go/pkg/compiler/bridge.HashMapHashValue
     0.03s  1.90% 37.97%      0.08s  5.06%  able/interpreter-go/pkg/compiler/bridge.primitiveHashMapHash
         0     0% 37.97%      0.08s  5.06%  main.__able_compiled_fn_event_error_ctx
         0     0% 37.97%      0.08s  5.06%  main.__able_hash_map_hash
     0.05s  3.16% 41.14%      0.08s  5.06%  runtime.gcmarknewobject
