benchmark	able_real_samples_seconds	able_mean_seconds	go_real_samples_seconds	go_mean_seconds	able_go_ratio	target_excess_seconds	target	able_source_sha256	go_source_sha256	verifier_sha256	stdout_sha256	logical_cpu_budget	cpu_affinity	executor_policy
array_slice_window	0.11,0.04,0.04,0.04,0.04	0.054	0.004515054,0.004531924,0.004163599,0.004257612,0.004051458	0.0043	12.55813953488372	0.049473684210526316	miss	64c65a525023e5fc7000f13b9d36875716b7d8b936060fede904381b58156b4e	b05ef51494077012bf4dd3822d8b36edaf10331d7de66ea6532a02f86e5d0402	3bd0cb89082e7eb924bb18eb1194378d42cdcc920366fbe26138a63e88f059e0	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	4	serial
await_channel_mux	0.1,0.14,0.13,0.14,0.13	0.128	0.005383243,0.004247935,0.005071107,0.004720035,0.004671403	0.0048	26.666666666666668	0.12294736842105264	miss	31bd5d760fff06cdd813c5520f961fbaadb5222908608f2630c183c8598f5b0c	cbbe5f94b6c169e778c687ac010d9683ec1d49d17597a4a876b9d5ec4ab59745	e8f3665223aaab95c5680522d2198aafada1a53c327515a1ab7424921ad7c945	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	4	4,6,5,11	goroutine
backup_dedup	0.06,0.05,0.05,0.05,0.05	0.052	0.00927048,0.00908898,0.009441055,0.009098484,0.0090358	0.0092	5.6521739130434785	0.04231578947368421	miss	e29c9ccd3c94346397695303b1fb83d4e705aa9ce2d5b7194b8964268822f944	6df8f4b980b668c9e5a01926ff3ce1b50eaad803296f55728328a5e69a803c5e	7f2a9e3cf21d98c42dd322b90ac06e8a5a5cb409039b2cd615ff5596443ece56	bf4d5c89239bd78c6dcb9d755b8df4e90bc092c2a64bf15e45786e815918504e	1	4	serial
base64	2.39,2.88,2.57,2.34,2.34	2.504	2.455881589,2.49951295,2.518293473,2.514505369,2.595307412	2.5167	0.9949537092223943	0	pass	b4676ab1b4392ed4433d7a2ce57c7388907e4719494e6edce32728b071750108	61a41a0ec45d3b3a8c890853d0a7839ce371b758ded8d8b8d0129a5b28390af6	9733a844e0ff888b9abd2fd5eddbd6f5b32cf6b5920ba631c12c4c61301e66ef	5f4c00cd811078942fc98cd5dbca3b47fac2f8d8210f07ea116c1a7c0d6ac316	1	4	serial
binary_event_log	0.24,0.15,0.15,0.14,0.13	0.162	0.007682146,0.00754079,0.008753259,0.007572892,0.007871074	0.0079	20.50632911392405	0.15368421052631578	miss	658bf062ac063af7302544b1e9d2bc30d21c5c3b535e48634f40c20ba2c8d2ea	f9d5afe5d21a6bd2f73cb9c8ca9dd003fcd0b1993f695846ea82343f5c2bd2bf	aa1146cc5702cdc8fc0695960c84883a91d2c42fcdd6790f1115e4408366cfe6	fb075dc8606582c1e6a1d5e520fa8dda237fc7304044b84b3f8f3a2c6b1c36e9	1	4	serial
binarytrees	10.55,10.61,11.01,11.2,11.48	10.97	10.965947129,11.109093843,11.751350438,12.017199041,10.760059211	11.3207	0.9690213502698597	0	pass	d973598c0ca4e88fcbe96dc852fa64a935cd651b3b85be10121222e9694293d8	27d067b4bfe5f501f1fe2d6a3e0254d699759c750296d9414161c2b5d3623b9f	7d0f8379c38438b28d4684cf85eaba3c43a8a6d502f0fa0c2d2e58cd667a4bec	341de11a51feab3d8122b4b5d6a68b038a2d14434aa9bc2372f39300bf5f48e1	4	4,6,5,11	goroutine
channel_rollup	0.11,0.04,0.04,0.03,0.04	0.052	0.005276687,0.006329013,0.005384613,0.006778297,0.006219057	0.006	8.666666666666666	0.045684210526315785	miss	cc7ddd6dca16348087e17b89f07a30afa536750d088606744f9c22ce0704808a	ce97e496db8d6e776af7e6714d2ff51c0c55c3e7fcf098fa0db48c616f060ef7	335276c8e58c7de93afb270385953dbda5218a8389d3cc5c3c0be4bb4953d89d	a6a1f91069e8c95a38fba1a3cb7fb3f582434245605091f200ee90cdb190e604	4	4,6,5,11	goroutine
concurrent_audio_voices	0.03,0.03,0.03,0.03,0.03	0.03	0.00531943,0.005433813,0.004226344,0.00437026,0.004201605	0.0047	6.382978723404255	0.025052631578947368	miss	b6a5d1e0d2901bd3341b02d1f3445601ef05670cb2442c9f706305f4ec8b7cad	e96bcffed4da40c14d70eff8a672acecaa03c232feb3f4a1735788a4613abd5c	b03c00f7c71ef951a9f384f694a71a409fae28cf11323faa1e20eb3e8e33809f	6ec28390bc9c749cf18e4a6fbd4bc03154345e1acf0a2f6601baab16884a6e28	4	4,6,5,11	goroutine
concurrent_document_pipeline	0.03,0.03,0.03,0.03,0.03	0.03	0.004539838,0.004465415,0.004785682,0.004722139,0.004182705	0.0045	6.666666666666667	0.02526315789473684	miss	5c5d8a577a404fdc73e355a9b8997ff36acd04e8ca974e07bde0729e78a7dc16	bfdfcfe86bf39725d48357a348aded4a167aa0853a3a229998a6aebba18b6976	e3d21369cd5e2bd9ff65b0f77f38762ec8a95d0b532e47cf15a8201d422e61a9	60b369f137cf022522072c4abfd911091aa3c77597528906f58b62610f438120	4	4,6,5,11	goroutine
concurrent_event_routing	0.04,0.04,0.04,0.04,0.03	0.038	0.005875159,0.006422419,0.005102643,0.005245745,0.004628652	0.0055	6.909090909090909	0.032210526315789474	miss	23d12e189b92ee44f83917df8a8fa8a84f2ab77242f9785474df345fbe5e274b	b6707e2193637e4a257a84f8ef9cf9208671e0d1bf9ed71b978ce5ef71659e1c	9002ac45510f4c7962475abc25d2507103f3a319a8db11a12554ad6551def6e1	672e4542ce0d231428dd910348225e7c8b058824d7b8ceffbfb616d77a939d39	4	4,6,5,11	goroutine
