state	family	disposition	lines	bytes	sha256	path
tracked-modified	handoff-release-tooling	retain	50043	3510078	dbb238148adc0b7c6ec4a076d7ff627b4f5980b31919278624dbc57f7c9f5dcf	LOG.md
tracked-modified	handoff-release-tooling	retain	203	10417	6f3ed67d08339361cfc15f85f7124d7d7aa75f32e52e93a861b34370a1e75d8b	PLAN.md
tracked-modified	benchmark-tools-contracts	retain	269	14995	04c4117d36706b62cd8bdb1ac4a72d10ed3f26522d8babeeb3fee8fb35950601	justfile
tracked-modified	handoff-release-tooling	retain	179	4546	4c9ba37367560ff1a2c47414f19a0cedb578c5fd71ab069b0194ba4936f1e971	run_stdlib_tests.sh
tracked-modified	handoff-release-tooling	retain	5414	363766	2845e4ad4b547bde17a368943d628098737f1193faaae2e1c859fd147ad74b46	v12/LOG.md
tracked-modified	benchmark-tools-contracts	retain	437	21776	508f6b7884e0213b32aa6597059f9aa5bb4aba5391420edc230213e91e1aa390	v12/bench-bytecode-native-hot-tier-design.json
tracked-modified	benchmark-tools-contracts	retain	118	4820	4d099d67fba875d8ecc55e14bb56f7b4f3d87b048e0b9f94e2ff1d277b8b39f6	v12/bench-bytecode-semantic-region-feasibility.json
tracked-modified	benchmark-tools-contracts	retain	166	7087	6286e174c026d315958a8aadaf4121db47020c38c89bd995688b7397ab93ca03	v12/bench-compiled-architecture-budget.json
tracked-modified	benchmark-tools-contracts	retain	25	1691	39cec726218c695013d92fabb512729fd27727f08e06f2940edac3bd9a0cf27b	v12/bench-cross-engine-architecture-budget.json
tracked-modified	benchmark-tools-contracts	retain	130	6241	fe1cf82452279882de0373dcff65752eec03e06e18d16b67855e1d0b159d7d25	v12/bench-cross-engine-structural-strategy.json
tracked-modified	benchmark-tools-contracts	retain	581	21389	1db9fb3a8d07e04a18aed1f8ad328fd9339d35434cb7023b3697a3930743c08a	v12/bench-feature-coverage.json
tracked-modified	benchmark-tools-contracts	retain	379	35463	a9f3995c2a7e6671def55576b48b555d0241357698d33bff1a1388ffaec6b9dc	v12/bench-operation-depth.json
tracked-modified	benchmark-tools-contracts	retain	1	71721	f00e9fafd2ad222c018de0748093957687bfd555f3bceb711825ef23191c3ffc	v12/bench-performance-closure-ledger.json
tracked-modified	benchmark-tools-contracts	retain	555	39121	9579333bba3b73a828c1ac324ba6c64adb0c18c70212a36ed1f42a48e761f48f	v12/bench-performance-frontier-evidence.json
tracked-modified	benchmark-tools-contracts	retain	198	8755	9e7bf0b5443d8e07855860452e8b4a5703cde5f9b6484eaee0d6521146fba90a	v12/bench-performance-stability.json
tracked-modified	benchmark-tools-contracts	retain	195	10346	69b2877a562521842ec1ee4a54de4bcb0378c10e4f6bb6a033c2d854ef8a0e4a	v12/bench-portable-vm-backend-adr.json
tracked-modified	benchmark-tools-contracts	retain	129	3469	dac2450e10f73655271c2e03b236e3d2c0b4dfe83e8bdfcfda9bee4efdba9d23	v12/bench-selection-manifest.json
tracked-modified	benchmark-tools-contracts	retain	208	11048	679da72db9691db953de93912fd8166a48941ebb575899cd3911b5592b3f4541	v12/bench-shared-runtime-semantic-abi.json
tracked-modified	benchmark-tools-contracts	retain	114	4967	d0cf522d9ac65e22eaebd60975136ed1ac8749d319358526b1fbb3339a829abf	v12/bench_bytecode_native_hot_tier_budget_test.py
tracked-modified	benchmark-tools-contracts	retain	408	14302	6b44a45f60ae0fa7911407962a8dbda13e57411213ea0699bf5704a54f599cd3	v12/bench_compiled_boundary_audit
tracked-modified	benchmark-tools-contracts	retain	77	3194	972e20e8410e107fba58fd0c40f896d598535a2a1826fd74174951e58518d5d3	v12/bench_cross_engine_architecture_budget_test.py
tracked-modified	benchmark-tools-contracts	retain	109	4823	21d4ac8b9d8979c5b8fae16513cfd020fb358c0e865f5a766644a0fb8dfe4e6a	v12/bench_cross_engine_structural_strategy_test.py
tracked-modified	benchmark-tools-contracts	retain	939	31446	f5b2415a8a1719a659c77d0cfd9af8d0e60b2e85a67a43bc2c337dbd81309865	v12/bench_external_catalog.sh
tracked-modified	benchmark-tools-contracts	retain	88	3318	7a018bfa03d86bdd42adc67a1a2d7fc5edeb40a73482ee0927457da6f896029d	v12/bench_feature_coverage_check_test.py
tracked-modified	benchmark-tools-contracts	retain	234	10317	ee7eaadf0b0c39f45d933b305878a214867ce8ef7c39a7b7afc02db33be7663d	v12/bench_feature_interaction_matrix_test.py
tracked-modified	benchmark-tools-contracts	retain	469	20587	2de6fb206e6506442ce2b65d51e0ea55b5a19fae5f4e72b429a66ff19234bb06	v12/bench_feature_interaction_triples_test.py
tracked-modified	benchmark-tools-contracts	retain	483	19909	5b1ab85812c1bce6e5ef9d28e88c2754952462010f260e144718ef577576dbb4	v12/bench_refresh_external_scorecard
tracked-modified	benchmark-tools-contracts	retain	81	3216	ade523613c118bd70dfb82ffe8821579c37d4a191139059e549a5487852f34e0	v12/bench_residual_cost_model_test.py
tracked-modified	benchmark-tools-contracts	retain	118	4355	ff8354568349c1ac8355efa46763b159e83874411f77933d039b30ac60105039	v12/bench_scorecard_evidence_check.py
tracked-modified	performance-evidence	retain	7496	455330	83abb85ef63f9c699a2bd712413aaa6ad8d9658d6bfaeb749938738aa0f8e572	v12/docs/perf-baselines/2026-07-20-cross-mode-performance-frontier.json
tracked-modified	performance-evidence	retain	329	72455	c7256f0f0d0b50a4dacdc9aaa1270474ad7e3669767998088e39b352f882a617	v12/docs/perf-baselines/2026-07-20-cross-mode-performance-frontier.md
tracked-modified	performance-evidence	retain	505	17283	499c96e9949a7828bf6dc4df4b257257f6d8fcaa95006c5edb87e23c3e05ee7e	v12/docs/perf-baselines/2026-07-21-cross-mode-residual-cost-model.json
tracked-modified	performance-evidence	retain	91	7064	59b4159dfc9dadfb52881805a706289cc035164c4799750521c8bd45a9a6bcb3	v12/docs/perf-baselines/2026-07-21-cross-mode-residual-cost-model.md
tracked-modified	performance-evidence	retain	9791	308598	9e5afa1529c79daf656d82c58d0d440e4494f1f3e72efdde6a742d2cc739bf8f	v12/docs/perf-baselines/2026-07-21-feature-interaction-triple-frontier.json
tracked-modified	performance-evidence	retain	182	94437	dcf09e234eaabc125f21fcac628181d930af0ed3488532636e62d7bca64c3644	v12/docs/perf-baselines/2026-07-21-feature-interaction-triple-frontier.md
tracked-modified	performance-evidence	retain	1519	67492	7e58450b286d7b45a25383708bfbcfda7f86865e8943a102c11a3acbfdb24167	v12/docs/perf-baselines/2026-07-22-bytecode-native-hot-tier-design-budget.json
tracked-modified	performance-evidence	retain	172	11519	fdf3b25be8ffe4b0de58bb142fb725dc1e12e2160d99cefc44ebaea9f63d529f	v12/docs/perf-baselines/2026-07-22-bytecode-native-hot-tier-design-budget.md
tracked-modified	performance-evidence	retain	178	7693	ec05a39277f57e0a3b4de5931c547967c6ccb2a04c98b1ce90d331eef1adb0db	v12/docs/perf-baselines/2026-07-22-bytecode-semantic-region-tier-feasibility.json
tracked-modified	performance-evidence	retain	349	15265	69679874a7d9666a32411bb126c726349cdfeff692055d6c0d13bf53b5d1f78e	v12/docs/perf-baselines/2026-07-22-cross-engine-structural-strategy-reconciliation.json
tracked-modified	performance-evidence	retain	111	6736	2cc5f59fa7db3f234f643eb304e87f3de82fa3699da90e4ac9345b2333021f18	v12/docs/perf-baselines/2026-07-22-cross-engine-structural-strategy-reconciliation.md
tracked-modified	performance-evidence	retain	449	16563	74ff5bb5e1d4a473ed521e92b6a997fbe229eadbb02cc6cdf697dd28cfb38831	v12/docs/perf-baselines/2026-07-22-current-compiled-architecture-target-budget.json
tracked-modified	performance-evidence	retain	237	8044	c259c7b9988f96d77b9791bdb530672936d34e1af540602d4ae827877d939b08	v12/docs/perf-baselines/2026-07-22-current-cross-engine-architecture-target-budget-reconciliation.json
tracked-modified	performance-evidence	retain	72	3803	a409de0cba6259a14243820d08f3a21e84716c4d07eed06fd5bb128a77db29ee	v12/docs/perf-baselines/2026-07-22-current-cross-engine-architecture-target-budget-reconciliation.md
tracked-modified	performance-evidence	retain	290	14206	af7eb2539bb16be719af1ead3eb276b8f912e788a15de84371b30436c3d57f2e	v12/docs/perf-baselines/2026-07-22-portable-vm-backend-abi-dependency-adr.json
tracked-modified	performance-evidence	retain	309	15035	83e9792145e78d48bd55e53ecae68c51f4965666302db1e2b14217616f00dea5	v12/docs/perf-baselines/2026-07-22-shared-runtime-closed-region-cutover-decision.json
tracked-modified	performance-evidence	retain	281	14066	b7d4ffb2e26f4f88dc317bd456e7f84d7e865d902f661f80ebcd0a867960acfb	v12/docs/perf-baselines/2026-07-22-shared-runtime-semantic-abi-feasibility.json
tracked-modified	performance-evidence	retain	140	209032	9df24ffed73a2ad39060eb2229f7588d617426fa456c3b8df3ff045d5392b53c	v12/docs/perf-baselines/external-scoreboard-current.json
tracked-modified	performance-evidence	retain	181	18781	288892e419ee1906685f37f5e8ddd1d1d00b062b0570ead9baa88f539c19da3a	v12/docs/perf-baselines/external-scoreboard-current.md
tracked-modified	deferred-wasm	hold	163	6216	bb72614c797b28650bce09915e6d3de9e5a94d89918187ad0cc302c5f90e7de7	v12/docs/wasm-host-abi.md
tracked-modified	deferred-wasm	hold	72	1902	552e53c230c2e6cdc906744c2ac3fb948e546e06f4e649ab7520698a956c909c	v12/interpreters/go/cmd/ablewasm/main_js_wasm.go
tracked-modified	compiler-aot-runtime	retain	93	6481	c6018a67c39f02d97c4f648a1c614c4f3e576194dca8a0ebfa46143b868b5881	v12/interpreters/go/pkg/compiler/bridge/bridge_interpreter.go
tracked-modified	compiler-aot-runtime	retain	173	5935	5ac7443172c46d3bfee4571053fbc8ea302ceda92345bd00533b5b7dfb73e272	v12/interpreters/go/pkg/compiler/bridge/bridge_runtime_ops.go
tracked-modified	compiler-aot-runtime	retain	464	12308	77cfffee51ddb2ef1f960ad3f41cd1c363b8eace6f509a573ab3b9f54c6ef032	v12/interpreters/go/pkg/compiler/bridge/bridge_static_types.go
tracked-modified	compiler-aot-runtime	retain	169	5439	2b190f43f526728ca3210acbb786e261408fc61fb60d784ddbdf929b795b7a25	v12/interpreters/go/pkg/compiler/bridge/bridge_static_types_test.go
tracked-modified	compiler-aot-runtime	retain	264	7638	9cc1ea69da8e212dabe97449af38defb341e9ec5a28f227df06ded7a110df5d5	v12/interpreters/go/pkg/compiler/bridge/bridge_struct_definitions.go
tracked-modified	compiler-aot-runtime	retain	249	8461	908a018e2ab5e7363eb941115d4aa1456aa7f84e94fa1a561a9d49c4b3932b8a	v12/interpreters/go/pkg/compiler/compiler_array_value_boundary_test.go
tracked-modified	compiler-aot-runtime	retain	247	9102	aa79aa33b1f634f8d51676cd19d371b892004fe6355262bb811bdca60a738094	v12/interpreters/go/pkg/compiler/compiler_execution_context_parity_test.go
tracked-modified	compiler-aot-runtime	retain	646	19910	11c5442d90506c18e6b5851d72f8309bc2b6902fcaf055886303b718cad86591	v12/interpreters/go/pkg/compiler/compiler_hashmap_native_test.go
tracked-modified	compiler-aot-runtime	retain	63	1785	7fe102f8d9c7479de4166054971ce2b0e82c141c14eb714fe1e4abfdb79d90f3	v12/interpreters/go/pkg/compiler/compiler_mutex_await_lock_exec_test.go
tracked-modified	compiler-aot-runtime	retain	991	37425	858b41766ba5d1226682a762f7d06a26be1404dc0e7781262e0e66b9a35bdd02	v12/interpreters/go/pkg/compiler/generator.go
tracked-modified	compiler-aot-runtime	retain	130	5531	acde407cdc9461f373571c7eb84a65538832233889c297339b36dc0cbfa6acc8	v12/interpreters/go/pkg/compiler/generator_bound_method_values.go
tracked-modified	compiler-aot-runtime	retain	856	36785	a9a1f24c5d6da06e19343f3a395f17c0c21cfe6577928b805fbf3a8c72e1a7fe	v12/interpreters/go/pkg/compiler/generator_collections.go
tracked-modified	compiler-aot-runtime	retain	144	4921	b11ec4df97c81b2ffa00d7d939e96d274b48fd0d780940be3c6e9a4a79e18c6f	v12/interpreters/go/pkg/compiler/generator_concurrency.go
tracked-modified	compiler-aot-runtime	retain	176	5983	12e9874858e612c9a4b18b4bc87676d29ee3a95597795b9197a74794d4d66c7f	v12/interpreters/go/pkg/compiler/generator_execution_context.go
tracked-modified	compiler-aot-runtime	retain	979	38377	1fe645fcc2e885a2f110ad3208e4e7388e97b2549eb119e53a88120adae05d98	v12/interpreters/go/pkg/compiler/generator_exprs.go
tracked-modified	compiler-aot-runtime	retain	777	28070	0f0e8a8ec4856510362b159a21c91c940da67ba78ce8fd56f40bbcea51db26a4	v12/interpreters/go/pkg/compiler/generator_exprs_lambda_cast_range.go
tracked-modified	compiler-aot-runtime	retain	126	5052	ae008a7d99a33b32239a1a4c6b95dd770e4d9b78a4ad5cbd54bc23a7a7192394	v12/interpreters/go/pkg/compiler/generator_iterator_controller_calls.go
