File: transaction_ledger_audit
Build ID: c1b3278941b24fffd6b92019d5abf34a221fd45b
Type: cpu
Time: 2026-07-29 14:35:53 CDT
Duration: 194.05ms, Total samples = 410ms (211.28%)
Showing nodes accounting for 370ms, 90.24% of 410ms total
Showing top 100 nodes out of 104
      flat  flat%   sum%        cum   cum%
         0     0%     0%      400ms 97.56%  main.RunRegisteredMain
         0     0%     0%      400ms 97.56%  main.RunRegisteredMain.func1
      20ms  4.88%  4.88%      400ms 97.56%  main.__able_compiled_fn_main
         0     0%  4.88%      400ms 97.56%  main.__able_register_compiled_call.func1
         0     0%  4.88%      400ms 97.56%  main.__able_wrap_fn_main
         0     0%  4.88%      400ms 97.56%  main.main
         0     0%  4.88%      400ms 97.56%  main.runMain
         0     0%  4.88%      400ms 97.56%  runtime.main
      10ms  2.44%  7.32%      260ms 63.41%  main.__able_compiled_fn_parse_transaction
         0     0%  7.32%      190ms 46.34%  runtime.mallocgc
         0     0%  7.32%      160ms 39.02%  main.__able_compiled_fn_parse_transaction.func1 (inline)
         0     0%  7.32%      160ms 39.02%  strings.Split (inline)
      20ms  4.88% 12.20%      160ms 39.02%  strings.genSplit
      10ms  2.44% 14.63%      100ms 24.39%  runtime.makeslice
      10ms  2.44% 17.07%      100ms 24.39%  runtime.mallocgcSmallScanNoHeader
      10ms  2.44% 19.51%       90ms 21.95%  runtime.deductAssistCredit
         0     0% 19.51%       90ms 21.95%  runtime.systemstack
         0     0% 19.51%       80ms 19.51%  runtime.gcAssistAlloc
         0     0% 19.51%       80ms 19.51%  runtime.gcAssistAlloc.func2
         0     0% 19.51%       80ms 19.51%  runtime.gcAssistAlloc1
         0     0% 19.51%       80ms 19.51%  runtime.gcDrainN
         0     0% 19.51%       50ms 12.20%  runtime.convT
         0     0% 19.51%       40ms  9.76%  main.__able_compiled_method_HashMap_raw_set_spec
         0     0% 19.51%       40ms  9.76%  main.__able_compiled_method_HashMap_set_spec
         0     0% 19.51%       40ms  9.76%  runtime.(*mcache).nextFree
         0     0% 19.51%       40ms  9.76%  runtime.(*mcache).refill
      10ms  2.44% 21.95%       40ms  9.76%  runtime.scanSpan
         0     0% 21.95%       30ms  7.32%  able/interpreter-go/pkg/compiler/bridge.ToDynamicI64
         0     0% 21.95%       30ms  7.32%  main.__able_compiled_fn_ledger_error
         0     0% 21.95%       30ms  7.32%  main.__able_compiled_fn_lookup
         0     0% 21.95%       30ms  7.32%  main.__able_compiled_impl_Map_get_0_spec
      10ms  2.44% 24.39%       30ms  7.32%  main.__able_compiled_method_HashMap_raw_get_spec
      10ms  2.44% 26.83%       30ms  7.32%  main.__able_hash_map_find_entry
         0     0% 26.83%       30ms  7.32%  main.__able_iface_Map_String_i64_adapter_ptr_HashMap_String_i64.get
         0     0% 26.83%       30ms  7.32%  runtime.(*mcentral).cacheSpan
         0     0% 26.83%       30ms  7.32%  runtime.newobject
      30ms  7.32% 34.15%       30ms  7.32%  runtime.nextFreeFast (inline)
      20ms  4.88% 39.02%       30ms  7.32%  runtime.scanObject
         0     0% 39.02%       20ms  4.88%  able/interpreter-go/pkg/compiler/bridge.ToInt
         0     0% 39.02%       20ms  4.88%  able/interpreter-go/pkg/runtime.(*HashMapValue).HashCandidates (inline)
      20ms  4.88% 43.90%       20ms  4.88%  gcWriteBarrier
      20ms  4.88% 48.78%       20ms  4.88%  indexbytebody
         0     0% 48.78%       20ms  4.88%  internal/runtime/gc/scan.ScanSpanPacked (inline)
         0     0% 48.78%       20ms  4.88%  internal/runtime/gc/scan.ScanSpanPackedAVX512
         0     0% 48.78%       20ms  4.88%  internal/stringslite.Index
         0     0% 48.78%       20ms  4.88%  internal/stringslite.IndexByte (inline)
      20ms  4.88% 53.66%       20ms  4.88%  main.__able_checked_add_signed
         0     0% 53.66%       20ms  4.88%  main.__able_compiled_method_Transaction_key (inline)
      10ms  2.44% 56.10%       20ms  4.88%  main.__able_compiled_method_Transaction_signed_amount
         0     0% 56.10%       20ms  4.88%  main.__able_hash_map_get_impl
         0     0% 56.10%       20ms  4.88%  main.__able_nullable_i64_to_value (inline)
         0     0% 56.10%       20ms  4.88%  runtime.concatstring3
      10ms  2.44% 58.54%       20ms  4.88%  runtime.concatstrings
         0     0% 58.54%       20ms  4.88%  runtime.deductSweepCredit
      20ms  4.88% 63.41%       20ms  4.88%  runtime.mapaccess1_fast64
         0     0% 63.41%       20ms  4.88%  runtime.sweepone
         0     0% 63.41%       20ms  4.88%  strings.Index (inline)
         0     0% 63.41%       10ms  2.44%  able/interpreter-go/pkg/compiler/bridge.(*Runtime).StructDefinition
      10ms  2.44% 65.85%       10ms  2.44%  able/interpreter-go/pkg/compiler/bridge.AsInt
      10ms  2.44% 68.29%       10ms  2.44%  aeshashbody
      10ms  2.44% 70.73%       10ms  2.44%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
      10ms  2.44% 73.17%       10ms  2.44%  internal/runtime/gc/scan.FilterNilAVX512
      10ms  2.44% 75.61%       10ms  2.44%  internal/runtime/gc/scan.scanSpanPackedAVX512
         0     0% 75.61%       10ms  2.44%  internal/runtime/maps.(*Map).growToSmall
         0     0% 75.61%       10ms  2.44%  internal/runtime/maps.NewEmptyMap (inline)
         0     0% 75.61%       10ms  2.44%  internal/runtime/maps.newGroups (inline)
         0     0% 75.61%       10ms  2.44%  internal/runtime/maps.newarray
      10ms  2.44% 78.05%       10ms  2.44%  main.__able_checked_sub_signed
         0     0% 78.05%       10ms  2.44%  main.__able_compiled_fn_parse_i64
         0     0% 78.05%       10ms  2.44%  main.__able_hash_map_set_impl
         0     0% 78.05%       10ms  2.44%  main.__able_struct_LedgerError_to (inline)
         0     0% 78.05%       10ms  2.44%  main.__able_struct_LedgerError_to_seen
         0     0% 78.05%       10ms  2.44%  runtime.(*activeSweep).end
      10ms  2.44% 80.49%       10ms  2.44%  runtime.(*lfstack).pop
         0     0% 80.49%       10ms  2.44%  runtime.(*mcentral).grow
         0     0% 80.49%       10ms  2.44%  runtime.(*mcentral).uncacheSpan
         0     0% 80.49%       10ms  2.44%  runtime.(*mheap).alloc
         0     0% 80.49%       10ms  2.44%  runtime.(*mheap).alloc.func1
         0     0% 80.49%       10ms  2.44%  runtime.(*mheap).allocSpan
      10ms  2.44% 82.93%       10ms  2.44%  runtime.(*mheap).initSpan
      10ms  2.44% 85.37%       10ms  2.44%  runtime.(*mspan).moveInlineMarks
      10ms  2.44% 87.80%       10ms  2.44%  runtime.(*mspan).writeHeapBitsSmall
         0     0% 87.80%       10ms  2.44%  runtime.(*scavengerState).sleep
         0     0% 87.80%       10ms  2.44%  runtime.(*spanSet).push
