state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
tracked-modified	2	handoff-release-boundary	retain	2026-07-30-canonical-stdlib-scope-publication-reconciliation.md	52074	3629602	d746816a94ce666d332e38c09b731e0e7c27f3e1c6fd0ca7c9c4577d618d0a26	LOG.md
tracked-modified	2	handoff-release-boundary	retain	2026-07-30-canonical-stdlib-scope-publication-reconciliation.md	362	20577	d977c63648d868240817726c5b0a0ce3cfb8c7c25ded0c66010fbc76daa582d0	PLAN.md
tracked-modified	2	handoff-release-boundary	retain	2026-07-30-canonical-stdlib-scope-publication-reconciliation.md	7201	466903	b1ecfe83eb249e98880cce834b5b7528a259ff465d73bfbd3ce8a3d966f825df	v12/LOG.md
untracked	1	published-scope-reconciliation	retain	2026-07-30-canonical-stdlib-scope-publication-reconciliation.md	109	4199	182ace9682289bc14417eacd8cb61c3224cce3261e014e4169e52a5af0647ef1	v12/docs/perf-baselines/2026-07-30-canonical-stdlib-scope-publication-reconciliation.md
tracked-modified	hold	deferred-wasm	hold	deferred-wasm	163	6216	bb72614c797b28650bce09915e6d3de9e5a94d89918187ad0cc302c5f90e7de7	v12/docs/wasm-host-abi.md
untracked	hold	deferred-wasm	hold	deferred-wasm	75	3343	07b56a937feadc1f523115e1ba74b0bd8d6297630ba2eeb3100c78142622d97e	v12/docs/wasm-host-output-bridge.md
untracked	hold	deferred-wasm	hold	deferred-wasm	101	5261	829729f2b51305660557e827a0c45377e7c3b3ff669951389997dd3a3a9abeee	v12/docs/wasm-prototype-status.md
untracked	hold	deferred-wasm	hold	deferred-wasm	186	7779	13ffc9b7e3f4270fc73e832dc47ec039a709188d9cb0f434f0ac4082c9beb140	v12/docs/wasm-source-module-loader.md
tracked-modified	hold	deferred-wasm	hold	deferred-wasm	72	1902	552e53c230c2e6cdc906744c2ac3fb948e546e06f4e649ab7520698a956c909c	v12/interpreters/go/cmd/ablewasm/main_js_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	19	587	d16d5096bf856d53fed1dbef7e8db8de2040273718f901a490204c3c61407085	v12/interpreters/go/pkg/interpreter/bytecode_i32_frame_proof_wasm.go
