cohort	round	benchmark	variant	real_seconds	max_rss_kib
1	1	binarytrees	baseline	15.96	229360
1	1	binarytrees	current	16.15	230760
1	1	binarytrees	go	7.59	320804
1	2	binarytrees	baseline	17.30	222952
1	2	binarytrees	current	17.35	236724
1	2	binarytrees	go	8.09	325940
1	3	binarytrees	baseline	15.56	213960
1	3	binarytrees	current	15.00	230936
1	3	binarytrees	go	7.20	329628
1	4	binarytrees	baseline	15.52	232792
1	4	binarytrees	current	15.38	223696
1	4	binarytrees	go	7.23	320844
1	5	binarytrees	baseline	14.88	224864
1	5	binarytrees	current	17.12	231436
1	5	binarytrees	go	7.22	323752
1	1	quicksort	baseline	1.84	147124
1	1	quicksort	current	1.92	146936
1	1	quicksort	go	2.32	580120
1	2	quicksort	baseline	1.62	146804
1	2	quicksort	current	1.70	146936
1	2	quicksort	go	2.35	753688
1	3	quicksort	baseline	1.68	146936
1	3	quicksort	current	1.76	146800
1	3	quicksort	go	2.38	657304
1	4	quicksort	baseline	1.83	147004
1	4	quicksort	current	1.70	146880
1	4	quicksort	go	2.32	753688
1	5	quicksort	baseline	1.67	146988
1	5	quicksort	current	1.70	146804
1	5	quicksort	go	2.34	657304
1	1	k_nucleotide	baseline	1.25	27384
1	1	k_nucleotide	current	1.26	26860
1	1	k_nucleotide	go	0.06	7248
1	2	k_nucleotide	baseline	1.32	26168
1	2	k_nucleotide	current	1.35	27196
1	2	k_nucleotide	go	0.05	7248
1	3	k_nucleotide	baseline	1.37	26644
1	3	k_nucleotide	current	1.37	26988
1	3	k_nucleotide	go	0.05	7248
1	4	k_nucleotide	baseline	1.38	27304
1	4	k_nucleotide	current	1.34	26872
1	4	k_nucleotide	go	0.06	7248
1	5	k_nucleotide	baseline	1.36	26992
1	5	k_nucleotide	current	1.37	26936
1	5	k_nucleotide	go	0.05	7248
2	1	k_nucleotide	go	0.05	7248
2	1	k_nucleotide	current	1.34	26928
2	1	k_nucleotide	baseline	1.31	25864
2	2	k_nucleotide	go	0.05	7248
2	2	k_nucleotide	current	1.33	26816
2	2	k_nucleotide	baseline	1.48	26876
2	3	k_nucleotide	go	0.06	7248
2	3	k_nucleotide	current	1.27	27524
2	3	k_nucleotide	baseline	1.31	26924
2	4	k_nucleotide	go	0.05	7248
2	4	k_nucleotide	current	1.27	27192
2	4	k_nucleotide	baseline	1.35	27256
2	5	k_nucleotide	go	0.05	7248
2	5	k_nucleotide	current	1.50	26848
2	5	k_nucleotide	baseline	1.48	27064
2	1	quicksort	go	2.66	580120
2	1	quicksort	current	1.96	146804
2	1	quicksort	baseline	1.94	146996
2	2	quicksort	go	2.44	753688
2	2	quicksort	current	1.87	146816
2	2	quicksort	baseline	1.83	147068
2	3	quicksort	go	2.60	657304
2	3	quicksort	current	1.71	146880
2	3	quicksort	baseline	1.65	147132
2	4	quicksort	go	2.28	753688
2	4	quicksort	current	1.60	146880
2	4	quicksort	baseline	1.61	146940
2	5	quicksort	go	2.23	753688
2	5	quicksort	current	1.62	146936
2	5	quicksort	baseline	1.60	147004
2	1	binarytrees	go	7.33	320216
2	1	binarytrees	current	15.44	230576
2	1	binarytrees	baseline	15.35	228832
2	2	binarytrees	go	7.51	326704
2	2	binarytrees	current	15.99	223660
2	2	binarytrees	baseline	15.49	258144
2	3	binarytrees	go	7.47	318328
2	3	binarytrees	current	15.29	230228
2	3	binarytrees	baseline	16.46	223112
2	4	binarytrees	go	7.23	327896
2	4	binarytrees	current	17.33	230456
2	4	binarytrees	baseline	15.72	229212
2	5	binarytrees	go	7.61	321784
2	5	binarytrees	current	15.82	224280
2	5	binarytrees	baseline	15.59	229340
