File: compiled
Build ID: 3beb9b2eb54a9adde022ed1b7d3a70d2e204e756
Type: alloc_space
Time: 2026-07-29 19:57:07 CDT
Showing nodes accounting for 34053.03kB, 97.32% of 34991.12kB total
Dropped 188 nodes (cum <= 174.96kB)
      flat  flat%   sum%        cum   cum%
    9968kB 28.49% 28.49%     9968kB 28.49%  main.__able_compiled_fn_regex_nfa_threads_new
 8466.42kB 24.20% 52.68%  8466.42kB 24.20%  runtime/pprof.allFrames
 3558.18kB 10.17% 62.85%  3607.66kB 10.31%  runtime/pprof.(*profileBuilder).emitLocation
    3321kB  9.49% 72.34%     3321kB  9.49%  main.__able_compiled_fn_regex_nfa_clone_captures
 3034.51kB  8.67% 81.02%  3808.73kB 10.88%  main.__able_compiled_fn_regex_codepoints
     792kB  2.26% 83.28% 14708.83kB 42.04%  runtime/pprof.writeHeapInternal
     708kB  2.02% 85.30%  1018.88kB  2.91%  main.__able_compiled_fn_build_capture_groups
     648kB  1.85% 87.15%  1171.88kB  3.35%  compress/flate.NewWriter (inline)
  602.59kB  1.72% 88.88%   602.59kB  1.72%  main.__able_compiled_fn_utf8_decode
     570kB  1.63% 90.50%     3135kB  8.96%  main.__able_compiled_fn_regex_nfa_capture_end
  541.38kB  1.55% 92.05% 13916.83kB 39.77%  runtime/pprof.writeHeapProto
  369.05kB  1.05% 93.11%   369.05kB  1.05%  main.__able_compiled_fn_slice_bytes_a
     320kB  0.91% 94.02%   523.88kB  1.50%  compress/flate.(*compressor).init
     304kB  0.87% 94.89%      304kB  0.87%  main.__able_compiled_fn_regex_nfa_new_captures
     200kB  0.57% 95.46%      200kB  0.57%  compress/flate.newDeflateFast (inline)
     168kB  0.48% 95.94%      232kB  0.66%  main.__able_compiled_fn_policy_error
     144kB  0.41% 96.35%      792kB  2.26%  main.__able_compiled_fn_regex_nfa_capture_start
     120kB  0.34% 96.70% 20032.12kB 57.25%  main.__able_compiled_fn_parse_record
      96kB  0.27% 96.97%  1519.54kB  4.34%  main.__able_compiled_fn_build_match
      80kB  0.23% 97.20% 20152.12kB 57.59%  main.__able_compiled_fn_evaluate
   33.19kB 0.095% 97.29% 18144.58kB 51.85%  main.__able_compiled_fn_find_nfa_span
    8.09kB 0.023% 97.32%   224.66kB  0.64%  main.__able_compiled_fn_build_named_capture_groups
    0.50kB 0.0014% 97.32% 12076.05kB 34.51%  runtime/pprof.(*profileBuilder).appendLocsForStack
    0.08kB 0.00022% 97.32% 20281.93kB 57.96%  main.__able_compiled_fn_main
    0.02kB 6.7e-05% 97.32% 14709.17kB 42.04%  able/interpreter-go/pkg/profilehook.(*PhaseProfiler).writeAllocationSnapshot
    0.02kB 6.7e-05% 97.32% 20281.95kB 57.96%  main.RunRegisteredMain
         0     0% 97.32% 14709.17kB 42.04%  able/interpreter-go/pkg/profilehook.(*PhaseProfiler).StartMain
         0     0% 97.32% 14709.17kB 42.04%  able/interpreter-go/pkg/profilehook.(*PhaseProfiler).start
         0     0% 97.32%  1178.62kB  3.37%  compress/gzip.(*Writer).Write
         0     0% 97.32% 20281.93kB 57.96%  main.RunRegisteredMain.func1
         0     0% 97.32%   602.59kB  1.72%  main.__able_compiled_entry_impl_Iterator_next_0_c_spec
         0     0% 97.32% 18144.58kB 51.85%  main.__able_compiled_fn_find_token_match
         0     0% 97.32%     3927kB 11.22%  main.__able_compiled_fn_regex_nfa_add_closure
         0     0% 97.32%     3751kB 10.72%  main.__able_compiled_fn_regex_nfa_move
         0     0% 97.32%   602.59kB  1.72%  main.__able_compiled_impl_Iterator_next_0_c_spec
         0     0% 97.32%   216.57kB  0.62%  main.__able_compiled_method_HashMap_new_spec_into
         0     0% 97.32% 19664.12kB 56.20%  main.__able_compiled_method_Regex_match
         0     0% 97.32%   216.52kB  0.62%  main.__able_hash_map_new_impl
         0     0% 97.32%   602.59kB  1.72%  main.__able_iface_Iterator_char_adapter_ptr_RawStringCharsIter.next
         0     0% 97.32% 20281.93kB 57.96%  main.__able_register_compiled_call.func1
         0     0% 97.32% 20281.93kB 57.96%  main.__able_wrap_fn_main
         0     0% 97.32% 34991.12kB   100%  main.main
         0     0% 97.32% 34991.12kB   100%  main.runMain
         0     0% 97.32% 14709.17kB 42.04%  main.startMainProfilePhase (inline)
         0     0% 97.32% 34991.12kB   100%  runtime.main
         0     0% 97.32% 14708.83kB 42.04%  runtime/pprof.(*Profile).WriteTo
         0     0% 97.32%  1178.62kB  3.37%  runtime/pprof.(*profileBuilder).flush
         0     0% 97.32%  1190.88kB  3.40%  runtime/pprof.(*profileBuilder).pbSample
         0     0% 97.32% 14708.83kB 42.04%  runtime/pprof.writeAlloc
