state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
tracked-modified	5	handoff-release-boundary	retain	2026-07-30-post-nullable-correctness-release-gate.md	51522	3598464	21767efe0bb52a0d0810adfd0ea3b396f23844ceeda63518fe366cbe6e76b75a	LOG.md
tracked-modified	5	handoff-release-boundary	retain	2026-07-30-post-nullable-correctness-release-gate.md	212	10797	e043e57ad4dcc06f046707bb6a92892466dc9e20ff4697880e3f017ee8999183	PLAN.md
tracked-modified	5	handoff-release-boundary	retain	2026-07-30-post-nullable-correctness-release-gate.md	6737	441031	a3b01de8f230f0ec60f2f2cc8d95a6493fdc383fd65215d9a6bb82a556744322	v12/LOG.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	437	21776	a92c6675b470e83461b6032182c8d0f3ef03db5ba52984565c53d1b38519b60f	v12/bench-bytecode-native-hot-tier-design.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	97	4501	a08c11ae65cec825a20322efeaf6a29c0b8ecd4168f70632f97751ffde0eb634	v12/bench-bytecode-profile-coverage.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	118	4820	f6fc8212ecbf6400c6d5a9f8f6e5f6240d3a2169c4314311da9c3a9ea9c2fbdb	v12/bench-bytecode-semantic-region-feasibility.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	166	7087	3e65fa6c7919782208acd828a0128975ca404caeb7117bb2c8796dcf8a6aef08	v12/bench-compiled-architecture-budget.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	25	1691	541d914e13ac0899c67fc9b24030b160bf44a833a9392d947508d8210772360f	v12/bench-cross-engine-architecture-budget.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	130	6241	9128231e2be23956499380c7db0245d29419ddea5bfd42fb0ea61b7cf2c5de6e	v12/bench-cross-engine-structural-strategy.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	601	21844	51c4f2659da029c5450b2ced4b9d3e133ec360760242e44ecd957840dedd2808	v12/bench-feature-coverage.json
