state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
tracked-modified	3	handoff-release-boundary	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	51853	3617186	90f9e70174ed078c6d4ae920a3b52d9ac368f30ab7624ffd2637404ebf5bea18	LOG.md
tracked-modified	3	handoff-release-boundary	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	299	16605	d0a299d94bcc786af4017ede4d5fef3495fa698e48a3b5dca5fb496b8d3229ac	PLAN.md
tracked-modified	3	handoff-release-boundary	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	7016	456689	2ae2348f403ac4e533b3406e6f5adf1f2c49589b248449b60d1d5f1e4701ff60	v12/LOG.md
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	1	79424	15fcba70f930f002e7ef9e00084c4986973248db817e989266a693cc1c40f9c2	v12/bench-performance-closure-ledger.json
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	995	42451	c3bd75eb593c8910de9b8a11ea8532730e99cc471ce70c4e141a8ffbee72d9a1	v12/bench_external_scoreboard
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	755	32275	2c5a0fdb5e3f42dd34c2659baecddd53c5f6b7a6d83f52a7aebb29ff4caa7e78	v12/bench_performance_evidence_ledger
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	229	9884	5cb68c79e5adb01b8b66d15d0273aee013f0fd4ec630c3c63482dbe9db51a992	v12/bench_performance_evidence_ledger_test.py
untracked	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	39	1283	02a5ebed15ca8a6f3847f5f6e4c0e3656711b46cb53b3d2ae64924bd8a159c9b	v12/bench_repository_paths.py
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	116	4351	e87f341e988fd8a30c9c15b52e90aa79dc229950f7cbcccf1f1dfd9ba9dcaddd	v12/bench_scorecard_evidence_check.py
tracked-modified	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	146	5188	528de388b58bf466670fe0da5f47e8f6a23730d1862dd14fb5681dfe9f9d78f4	v12/bench_scorecard_evidence_check_test.py
untracked	1	post-parser-publication-shared-tree-reconciliation	retain	2026-07-30-post-parser-publication-shared-tree-reconciliation.md	136	6995	90bfbc6501a8e1566d041e0ab1f53c1a526ed80884321ed27994e8720d1718f6	v12/docs/perf-baselines/2026-07-30-post-parser-publication-shared-tree-reconciliation.json
untracked	1	post-parser-publication-shared-tree-reconciliation	retain	2026-07-30-post-parser-publication-shared-tree-reconciliation.md	164	7228	47dfc35f854e9f772034a0c1d22a68f99664954e144c74f16fd233b6caa3356b	v12/docs/perf-baselines/2026-07-30-post-parser-publication-shared-tree-reconciliation.md
untracked	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	120	5266	6592cb0ad62cc95f2f1dd43901a4461499fa57851a26b9c27e8c869fe82f8365	v12/docs/perf-baselines/2026-07-30-relocatable-performance-evidence-gates-retained.json
untracked	2	relocatable-performance-evidence-gates	retain	2026-07-30-relocatable-performance-evidence-gates-retained.md	143	6022	d25bff0dd78ceffdf6e4143329e663bdb6abcb916e762a25e1176102bf742255	v12/docs/perf-baselines/2026-07-30-relocatable-performance-evidence-gates-retained.md
tracked-modified	hold	deferred-wasm	hold	deferred-wasm	163	6216	bb72614c797b28650bce09915e6d3de9e5a94d89918187ad0cc302c5f90e7de7	v12/docs/wasm-host-abi.md
untracked	hold	deferred-wasm	hold	deferred-wasm	75	3343	07b56a937feadc1f523115e1ba74b0bd8d6297630ba2eeb3100c78142622d97e	v12/docs/wasm-host-output-bridge.md
untracked	hold	deferred-wasm	hold	deferred-wasm	101	5261	829729f2b51305660557e827a0c45377e7c3b3ff669951389997dd3a3a9abeee	v12/docs/wasm-prototype-status.md
untracked	hold	deferred-wasm	hold	deferred-wasm	186	7779	13ffc9b7e3f4270fc73e832dc47ec039a709188d9cb0f434f0ac4082c9beb140	v12/docs/wasm-source-module-loader.md
tracked-modified	hold	deferred-wasm	hold	deferred-wasm	72	1902	552e53c230c2e6cdc906744c2ac3fb948e546e06f4e649ab7520698a956c909c	v12/interpreters/go/cmd/ablewasm/main_js_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	19	587	d16d5096bf856d53fed1dbef7e8db8de2040273718f901a490204c3c61407085	v12/interpreters/go/pkg/interpreter/bytecode_i32_frame_proof_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	9	221	36f8ebbca98f41533c98e188f429fef3d67ec95e6eb0a52b53fd8ea320c1b20b	v12/interpreters/go/pkg/interpreter/bytecode_scalar_proof_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	38	1067	9a41ed27c7efc991541a1e99fcfe8c94c8d760d3bb7125d20e212d152864ad48	v12/interpreters/go/pkg/interpreter/bytecode_type_proofs_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	81	2272	a3f31b6772d711468976db190fbef554d2130ed8788e1f043eef2e4e5cea2214	v12/interpreters/go/pkg/interpreter/extern_host_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	49	1393	39545e11b8fc2be6352be5c58cf0a3bfec95c976e33f81c7e43d7d93a7652468	v12/interpreters/go/pkg/interpreter/interpreter_typecheck_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	17	489	95ca28d5c570991d509b3c9b7820e1624d46ae1536f0df7ad575ce15c4cfb2fd	v12/interpreters/go/pkg/interpreter/interpreter_typechecker_state_wasm.go
tracked-modified	hold	deferred-wasm	hold	deferred-wasm	179	4018	b16863701f4704bf2d7dd0023564e1af60a26ba19389cfcdb1112877f42cdc56	v12/interpreters/go/pkg/interpreter/runtime_diagnostics_wasm.go
untracked	hold	deferred-wasm	hold	deferred-wasm	12	250	f091ad15b8bb5b0785a07ed092b38976b89d151a2a6284318e5cf258384bdf5b	v12/interpreters/go/pkg/interpreter/static_receiver_type_hints_wasm.go
