File: able-bytecode
Build ID: e712eea3a270905c3f8cc6239942d807f87fc35e
Type: cpu
Time: 2026-07-30 08:46:45 CDT
Duration: 9.65s, Total samples = 9.63s (99.79%)
Showing nodes accounting for 6.96s, 72.27% of 9.63s total
Dropped 365 nodes (cum <= 0.05s)
Showing top 80 nodes out of 208
      flat  flat%   sum%        cum   cum%
     0.58s  6.02%  6.02%      9.03s 93.77%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runResumable
     0.55s  5.71% 11.73%      0.56s  5.82%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerValueInfo
     0.50s  5.19% 16.93%      0.50s  5.19%  aeshashbody
     0.31s  3.22% 20.15%      0.86s  8.93%  runtime.mapaccess2_faststr
     0.19s  1.97% 22.12%      1.76s 18.28%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinary
     0.18s  1.87% 23.99%      0.40s  4.15%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedScopeEntryWithVersionInternal
     0.18s  1.87% 25.86%      0.40s  4.15%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerValue
     0.16s  1.66% 27.52%      0.16s  1.66%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.15s  1.56% 29.08%      0.21s  2.18%  runtime.cgocall
     0.15s  1.56% 30.63%      0.25s  2.60%  runtime.tryDeferToSpanScan
     0.14s  1.45% 32.09%      0.14s  1.45%  memeqbody
     0.13s  1.35% 33.44%      0.48s  4.98%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeCachedScopeEntryWithVersions
     0.13s  1.35% 34.79%      0.13s  1.35%  able/interpreter-go/pkg/interpreter.boxedSmallIntValue
     0.13s  1.35% 36.14%      0.13s  1.35%  internal/sync.(*Mutex).Lock (inline)
     0.12s  1.25% 37.38%      0.12s  1.25%  internal/sync.(*Mutex).Unlock (inline)
     0.12s  1.25% 38.63%      0.33s  3.43%  runtime.mapassign_faststr
     0.11s  1.14% 39.77%      0.85s  8.83%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedMemberMethodEntry
     0.11s  1.14% 40.91%      0.93s  9.66%  able/interpreter-go/pkg/runtime.(*Environment).lookupCurrentValueNoLock
     0.11s  1.14% 42.06%      0.28s  2.91%  runtime.mapaccess1_faststr
     0.10s  1.04% 43.09%      0.47s  4.88%  able/interpreter-go/pkg/interpreter.evaluateArithmeticFast
     0.08s  0.83% 43.93%      0.08s  0.83%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).activeScopeLookupCacheEntries
     0.08s  0.83% 44.76%      0.21s  2.18%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).cachedMemberMethodBindingNameRevisionWithShape
     0.08s  0.83% 45.59%      0.09s  0.93%  able/interpreter-go/pkg/interpreter.bytecodeDirectIntegerCompare
     0.08s  0.83% 46.42%      0.24s  2.49%  able/interpreter-go/pkg/interpreter.bytecodeDirectSameTypeSmallIntPair
     0.08s  0.83% 47.25%      0.97s 10.07%  able/interpreter-go/pkg/runtime.(*Environment).lookupValueWithOwnerAndRevisionSingleThread
     0.07s  0.73% 47.98%      0.11s  1.14%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runtimeData
     0.07s  0.73% 48.70%      0.07s  0.73%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackRawI64Value
     0.07s  0.73% 49.43%      0.37s  3.84%  able/interpreter-go/pkg/interpreter.evaluateDivModFast
     0.07s  0.73% 50.16%      0.23s  2.39%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.07s  0.73% 50.88%      0.07s  0.73%  internal/runtime/maps.(*groupReference).key (inline)
     0.07s  0.73% 51.61%      0.07s  0.73%  runtime.memequal
     0.06s  0.62% 52.23%      0.35s  3.63%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishInlineReturn
     0.06s  0.62% 52.86%      1.63s 16.93%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedIdentifierName
     0.06s  0.62% 53.48%      0.06s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).stackValue (inline)
     0.06s  0.62% 54.10%      0.06s  0.62%  able/interpreter-go/pkg/interpreter.ensureFitsInt64Type
     0.06s  0.62% 54.72%      0.06s  0.62%  able/interpreter-go/pkg/interpreter.ratioPartsFromStruct
     0.06s  0.62% 55.35%      0.07s  0.73%  able/interpreter-go/pkg/interpreter.structDefinitionNamedFieldIndex
     0.06s  0.62% 55.97%      0.11s  1.14%  able/interpreter-go/pkg/runtime.(*Environment).inlineValueIndexNoLock (inline)
     0.06s  0.62% 56.59%      0.06s  0.62%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
     0.06s  0.62% 57.22%      0.06s  0.62%  sync/atomic.(*Bool).Load (inline)
     0.05s  0.52% 57.74%      0.15s  1.56%  able/interpreter-go/pkg/interpreter.bytecodeRawIntegerResultValue
     0.05s  0.52% 58.26%      0.17s  1.77%  able/interpreter-go/pkg/interpreter.structNamedFieldValue
     0.05s  0.52% 58.77%      0.05s  0.52%  able/interpreter-go/pkg/interpreter.structUsesNamedFieldStorage (inline)
     0.05s  0.52% 59.29%      0.05s  0.52%  able/interpreter-go/pkg/interpreter.unwrapInterfaceValue (inline)
     0.05s  0.52% 59.81%      0.38s  3.95%  runtime.mallocgc
     0.05s  0.52% 60.33%      0.05s  0.52%  runtime.nextFreeFast (inline)
     0.05s  0.52% 60.85%      0.05s  0.52%  runtime.strhash
     0.05s  0.52% 61.37%      0.05s  0.52%  sync/atomic.(*Uint64).Add (inline)
     0.04s  0.42% 61.79%      0.06s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendStackValue (inline)
     0.04s  0.42% 62.20%      1.42s 14.75%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMember
     0.04s  0.42% 62.62%      0.73s  7.58%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMemberArraySlot
     0.04s  0.42% 63.03%      0.36s  3.74%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCastOpcode
     0.04s  0.42% 63.45%      0.27s  2.80%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).scopeLookupEntryShapeMetadata
     0.04s  0.42% 63.86%      1.09s 11.32%  able/interpreter-go/pkg/interpreter.ApplyBinaryOperatorFast
     0.04s  0.42% 64.28%      0.13s  1.35%  able/interpreter-go/pkg/interpreter.bytecodeSlotReadValue
     0.04s  0.42% 64.69%      0.09s  0.93%  able/interpreter-go/pkg/interpreter.bytecodeStackSnapshotValue
     0.04s  0.42% 65.11%      0.14s  1.45%  able/interpreter-go/pkg/interpreter.inlineCoercionUnnecessaryBySimpleCheck
     0.04s  0.42% 65.52%      0.15s  1.56%  able/interpreter-go/pkg/interpreter.lookupIntegerInfo (inline)
     0.04s  0.42% 65.94%      0.43s  4.47%  able/interpreter-go/pkg/runtime.(*Environment).BindingNameRevision
     0.04s  0.42% 66.36%      0.92s  9.55%  able/interpreter-go/pkg/runtime.(*Environment).LookupWithOwnerAndRevisionHint
     0.04s  0.42% 66.77%      0.19s  1.97%  runtime.mapaccess2
     0.04s  0.42% 67.19%      0.06s  0.62%  type:.eq.able/interpreter-go/pkg/interpreter.typeExpressionSliceKey
     0.03s  0.31% 67.50%      0.10s  1.04%  able/interpreter-go/pkg/interpreter.(*Interpreter).matchesErrorValue
     0.03s  0.31% 67.81%      0.39s  4.05%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCachedResolvedMemberCall
     0.03s  0.31% 68.12%      2.16s 22.43%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallOpcode
     0.03s  0.31% 68.43%      0.15s  1.56%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishArrayReadSlotMemberFast
     0.03s  0.31% 68.74%      0.43s  4.47%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).memberMethodLexicalState
     0.03s  0.31% 69.06%      0.05s  0.52%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).pushCallFrame
     0.03s  0.31% 69.37%      0.06s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).replaceTop2Unchecked (inline)
